Ecuador,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.18,0.18,0.21,0.17
51,1851,,,0.18,0.18,0.21,0.17
52,1852,,,0.18,0.18,0.21,0.17
53,1853,-0.272,-0.25,0.18,0.18,0.2,0.16
54,1854,,,0.18,0.18,0.2,0.16
55,1855,,,0.18,0.17,0.2,0.16
56,1856,,,0.18,0.17,0.19,0.16
57,1857,,,0.18,0.17,0.19,0.16
58,1858,-0.11199999999999999,-0.18,0.17,0.17,0.19,0.16
59,1859,-0.061999999999999944,-0.17,0.17,0.17,0.19,0.16
60,1860,-0.30199999999999994,-0.15,0.17,0.17,0.18,0.16
61,1861,,,0.17,0.16,0.18,0.15
62,1862,,,0.17,0.16,0.18,0.15
63,1863,-0.18199999999999994,-0.11,0.17,0.16,0.18,0.15
64,1864,-0.20199999999999996,-0.1,0.17,0.16,0.18,0.15
65,1865,-0.061999999999999944,-0.09,0.17,0.16,0.18,0.15
66,1866,-0.132,-0.08,0.17,0.16,0.18,0.15
67,1867,0.16800000000000004,-0.07,0.17,0.16,0.18,0.15
68,1868,-0.0020000000000000018,-0.06,0.17,0.16,0.18,0.15
69,1869,0.488,-0.04,0.17,0.17,0.19,0.16
70,1870,-0.08199999999999996,-0.03,0.17,0.17,0.19,0.16
71,1871,-0.272,-0.02,0.17,0.17,0.2,0.16
72,1872,0.008000000000000007,-0.02,0.18,0.18,0.2,0.16
73,1873,0.008000000000000007,-0.01,0.18,0.18,0.2,0.16
74,1874,,,0.18,0.18,0.2,0.17
75,1875,-0.29200000000000004,-0.03,0.18,0.18,0.2,0.17
76,1876,0.028000000000000025,-0.05,0.18,0.18,0.21,0.17
77,1877,0.398,-0.06,0.18,0.18,0.2,0.16
78,1878,0.888,-0.08,0.17,0.17,0.2,0.16
79,1879,-0.01200000000000001,-0.1,0.17,0.17,0.2,0.16
80,1880,,,0.17,0.17,0.19,0.15
81,1881,0.14800000000000002,-0.12,0.17,0.16,0.19,0.15
82,1882,-0.19199999999999995,-0.14,0.17,0.16,0.19,0.15
83,1883,-0.45199999999999996,-0.15,0.16,0.16,0.18,0.14
84,1884,-0.43199999999999994,-0.17,0.16,0.16,0.18,0.14
85,1885,,,0.16,0.16,0.18,0.14
86,1886,-0.17199999999999993,-0.22,0.16,0.16,0.18,0.14
87,1887,-0.352,-0.22,0.16,0.16,0.18,0.14
88,1888,-0.21199999999999997,-0.22,0.16,0.16,0.18,0.14
89,1889,0.28800000000000003,-0.2,0.16,0.16,0.18,0.14
90,1890,-0.482,-0.18,0.16,0.16,0.18,0.14
91,1891,-0.02200000000000002,-0.14,0.17,0.16,0.18,0.15
92,1892,-0.272,-0.11,0.17,0.17,0.19,0.15
93,1893,-0.542,-0.07,0.18,0.18,0.2,0.16
94,1894,-0.16200000000000003,-0.04,0.19,0.18,0.2,0.17
95,1895,0.198,-0.0,0.19,0.19,0.21,0.17
96,1896,0.268,0.03,0.19,0.19,0.22,0.18
97,1897,0.268,0.06,0.2,0.2,0.22,0.18
98,1898,-0.15200000000000002,0.08,0.2,0.2,0.22,0.18
99,1899,0.178,0.1,0.2,0.2,0.22,0.18
100,1900,0.608,0.11,0.2,0.2,0.22,0.18
101,1901,0.07800000000000001,0.11,0.2,0.2,0.22,0.18
102,1902,0.128,0.09,0.21,0.2,0.23,0.19
103,1903,0.07800000000000001,0.06,0.21,0.2,0.23,0.19
104,1904,-0.23199999999999998,0.03,0.21,0.21,0.23,0.19
105,1905,0.278,0.0,0.21,0.21,0.23,0.19
106,1906,0.198,-0.02,0.21,0.21,0.23,0.19
107,1907,-0.19199999999999995,-0.02,0.21,0.21,0.24,0.19
108,1908,-0.22199999999999998,-0.02,0.21,0.21,0.24,0.19
109,1909,-0.30199999999999994,-0.01,0.22,0.21,0.24,0.2
110,1910,-0.5920000000000001,0.0,0.22,0.22,0.24,0.2
111,1911,-0.0020000000000000018,0.01,0.23,0.22,0.25,0.21
112,1912,0.358,0.02,0.23,0.23,0.26,0.22
113,1913,-0.01200000000000001,0.04,0.24,0.24,0.27,0.22
114,1914,0.548,0.06,0.25,0.25,0.28,0.23
115,1915,0.558,0.09,0.26,0.26,0.28,0.24
116,1916,-0.30199999999999994,0.12,0.26,0.26,0.29,0.25
117,1917,-0.6319999999999999,0.14,0.27,0.27,0.29,0.25
118,1918,-0.061999999999999944,0.15,0.27,0.27,0.3,0.26
119,1919,0.358,0.15,0.28,0.28,0.3,0.26
120,1920,0.248,0.16,0.29,0.29,0.31,0.27
121,1921,0.057999999999999996,0.16,0.29,0.29,0.31,0.28
122,1922,0.238,0.18,0.3,0.3,0.32,0.28
123,1923,0.22800000000000004,0.2,0.31,0.3,0.33,0.29
124,1924,0.09800000000000003,0.22,0.31,0.31,0.33,0.3
125,1925,0.09800000000000003,0.24,0.32,0.31,0.34,0.3
126,1926,0.5680000000000001,0.24,0.32,0.32,0.34,0.3
127,1927,0.21800000000000003,0.25,0.33,0.32,0.35,0.31
128,1928,0.358,0.24,0.33,0.33,0.35,0.32
129,1929,0.07800000000000001,0.24,0.34,0.34,0.36,0.32
130,1930,0.388,0.23,0.35,0.34,0.37,0.33
131,1931,0.488,0.23,0.36,0.35,0.38,0.34
132,1932,0.278,0.22,0.37,0.36,0.39,0.35
133,1933,-0.16200000000000003,0.23,0.37,0.37,0.4,0.36
134,1934,0.07800000000000001,0.24,0.38,0.38,0.4,0.36
135,1935,-0.0020000000000000018,0.26,0.39,0.39,0.41,0.37
136,1936,0.28800000000000003,0.29,0.4,0.39,0.42,0.38
137,1937,0.338,0.31,0.41,0.4,0.42,0.39
138,1938,-0.0020000000000000018,0.34,0.41,0.41,0.43,0.39
139,1939,0.528,0.38,0.42,0.41,0.43,0.4
140,1940,0.698,0.42,0.43,0.42,0.44,0.4
141,1941,1.058,0.45,0.43,0.43,0.45,0.41
142,1942,0.498,0.49,0.44,0.43,0.45,0.41
143,1943,0.458,0.51,0.44,0.44,0.45,0.42
144,1944,0.498,0.52,0.45,0.44,0.46,0.42
145,1945,0.548,0.52,0.45,0.44,0.46,0.43
146,1946,0.538,0.52,0.45,0.45,0.46,0.43
147,1947,0.508,0.51,0.45,0.45,0.46,0.43
148,1948,0.648,0.5,0.45,0.45,0.47,0.43
149,1949,0.42800000000000005,0.48,0.45,0.45,0.47,0.43
150,1950,0.028000000000000025,0.46,0.45,0.45,0.47,0.43
151,1951,0.698,0.44,0.46,0.45,0.47,0.44
152,1952,0.528,0.43,0.46,0.45,0.47,0.44
153,1953,0.768,0.42,0.46,0.46,0.47,0.44
154,1954,0.16800000000000004,0.42,0.47,0.46,0.47,0.45
155,1955,0.038000000000000034,0.41,0.47,0.46,0.47,0.45
156,1956,0.068,0.4,0.47,0.46,0.46,0.45
157,1957,1.158,0.4,0.46,0.45,0.46,0.44
158,1958,0.8180000000000001,0.39,0.46,0.45,0.45,0.44
159,1959,0.508,0.38,0.45,0.44,0.45,0.43
160,1960,0.278,0.39,0.45,0.43,0.44,0.42
161,1961,0.358,0.4,0.44,0.43,0.43,0.42
162,1962,0.328,0.42,0.44,0.43,0.43,0.42
163,1963,0.438,0.42,0.44,0.43,0.43,0.42
164,1964,0.318,0.42,0.44,0.43,0.43,0.42
165,1965,0.5880000000000001,0.43,0.44,0.43,0.43,0.42
166,1966,0.5680000000000001,0.44,0.44,0.43,0.43,0.42
167,1967,0.20800000000000002,0.45,0.44,0.44,0.44,0.42
168,1968,0.338,0.46,0.44,0.44,0.44,0.42
169,1969,0.918,0.47,0.44,0.44,0.45,0.43
170,1970,0.438,0.48,0.44,0.45,0.45,0.43
171,1971,0.068,0.49,0.45,0.46,0.47,0.44
172,1972,0.978,0.51,0.47,0.47,0.48,0.45
173,1973,0.648,0.54,0.48,0.49,0.5,0.47
174,1974,0.28800000000000003,0.57,0.49,0.5,0.51,0.48
175,1975,0.138,0.61,0.51,0.52,0.53,0.5
176,1976,0.5880000000000001,0.65,0.52,0.53,0.54,0.51
177,1977,0.8180000000000001,0.68,0.53,0.54,0.56,0.52
178,1978,0.718,0.72,0.54,0.55,0.57,0.53
179,1979,0.868,0.74,0.56,0.56,0.58,0.54
180,1980,0.908,0.76,0.57,0.57,0.59,0.55
181,1981,0.788,0.77,0.58,0.58,0.6,0.57
182,1982,1.1880000000000002,0.78,0.59,0.6,0.62,0.58
183,1983,1.668,0.79,0.61,0.61,0.63,0.59
184,1984,0.598,0.81,0.62,0.62,0.64,0.6
185,1985,0.468,0.82,0.63,0.63,0.66,0.62
186,1986,0.6880000000000001,0.84,0.65,0.64,0.67,0.63
187,1987,1.488,0.86,0.66,0.66,0.68,0.64
188,1988,0.798,0.88,0.67,0.67,0.69,0.65
189,1989,0.508,0.9,0.69,0.68,0.7,0.67
190,1990,1.038,0.94,0.71,0.7,0.72,0.68
191,1991,1.198,0.98,0.73,0.72,0.73,0.7
192,1992,1.278,1.01,0.75,0.74,0.75,0.72
193,1993,1.108,1.02,0.77,0.76,0.77,0.74
194,1994,0.878,1.02,0.79,0.79,0.8,0.77
195,1995,1.218,1.01,0.82,0.81,0.82,0.79
196,1996,0.658,1.02,0.84,0.84,0.84,0.82
197,1997,1.718,1.02,0.86,0.86,0.87,0.84
198,1998,1.748,1.03,0.89,0.88,0.89,0.86
199,1999,0.5780000000000001,1.03,0.91,0.91,0.92,0.89
200,2000,0.668,1.03,0.94,0.94,0.94,0.92
201,2001,0.918,1.04,0.97,0.97,0.97,0.95
202,2002,1.298,1.04,1.0,1.0,1.0,0.98
203,2003,1.228,1.05,1.03,1.03,1.03,1.01
204,2004,1.218,1.07,1.05,1.06,1.06,1.04
205,2005,1.078,1.09,1.08,1.08,1.09,1.06
206,2006,1.1480000000000001,1.11,1.11,1.11,1.12,1.09
207,2007,0.968,1.12,1.13,1.14,1.14,1.12
208,2008,0.868,1.13,1.16,1.16,1.17,1.15
209,2009,1.308,1.15,1.19,1.19,1.19,1.17
210,2010,1.268,1.18,1.21,1.21,1.22,1.2
211,2011,1.088,1.21,1.24,1.24,1.24,1.23
212,2012,1.068,1.24,1.26,1.26,1.27,1.26
213,2013,1.038,1.28,1.29,1.29,1.29,1.29
214,2014,1.338,1.32,1.32,1.32,1.32,1.33
215,2015,1.758,1.35,1.35,1.35,1.35,1.36
216,2016,1.748,1.39,1.38,1.38,1.37,1.39
217,2017,1.358,1.43,1.41,1.4,1.4,1.42
218,2018,1.208,1.47,1.44,1.43,1.43,1.45
219,2019,1.448,1.51,1.46,1.46,1.45,1.48
220,2020,1.658,1.55,1.49,1.49,1.48,1.52
221,2021,,,1.52,1.52,1.5,1.55
222,2022,,,1.54,1.55,1.53,1.59
223,2023,,,1.57,1.58,1.56,1.62
224,2024,,,1.59,1.61,1.58,1.66
225,2025,,,1.62,1.64,1.61,1.69
226,2026,,,1.65,1.66,1.64,1.72
227,2027,,,1.67,1.69,1.66,1.76
228,2028,,,1.69,1.72,1.69,1.8
229,2029,,,1.72,1.75,1.72,1.83
230,2030,,,1.74,1.78,1.75,1.87
231,2031,,,1.76,1.8,1.78,1.91
232,2032,,,1.78,1.83,1.82,1.95
233,2033,,,1.8,1.85,1.85,1.98
234,2034,,,1.82,1.87,1.88,2.02
235,2035,,,1.84,1.9,1.91,2.06
236,2036,,,1.86,1.92,1.94,2.1
237,2037,,,1.88,1.94,1.97,2.14
238,2038,,,1.89,1.97,2.0,2.18
239,2039,,,1.91,1.99,2.04,2.22
240,2040,,,1.92,2.02,2.07,2.26
241,2041,,,1.94,2.04,2.11,2.31
242,2042,,,1.95,2.07,2.14,2.35
243,2043,,,1.97,2.09,2.17,2.39
244,2044,,,1.98,2.12,2.21,2.43
245,2045,,,1.99,2.14,2.25,2.47
246,2046,,,2.0,2.17,2.28,2.52
247,2047,,,2.01,2.19,2.32,2.56
248,2048,,,2.02,2.22,2.35,2.6
249,2049,,,2.02,2.24,2.39,2.64
250,2050,,,2.03,2.26,2.43,2.68
251,2051,,,2.04,2.29,2.46,2.73
252,2052,,,2.05,2.32,2.5,2.77
253,2053,,,2.06,2.34,2.54,2.82
254,2054,,,2.06,2.37,2.58,2.87
255,2055,,,2.07,2.39,2.61,2.91
256,2056,,,2.07,2.41,2.65,2.96
257,2057,,,2.08,2.44,2.68,3.01
258,2058,,,2.08,2.46,2.72,3.06
259,2059,,,2.09,2.48,2.76,3.11
260,2060,,,2.09,2.49,2.8,3.15
261,2061,,,2.1,2.51,2.83,3.21
262,2062,,,2.1,2.53,2.87,3.26
263,2063,,,2.1,2.55,2.91,3.31
264,2064,,,2.11,2.57,2.95,3.36
265,2065,,,2.11,2.59,2.99,3.42
266,2066,,,2.11,2.6,3.03,3.47
267,2067,,,2.11,2.62,3.07,3.52
268,2068,,,2.11,2.63,3.11,3.57
269,2069,,,2.11,2.65,3.14,3.62
270,2070,,,2.11,2.66,3.18,3.67
271,2071,,,2.1,2.68,3.22,3.72
272,2072,,,2.1,2.69,3.26,3.77
273,2073,,,2.1,2.71,3.3,3.82
274,2074,,,2.1,2.73,3.34,3.87
275,2075,,,2.1,2.74,3.38,3.93
276,2076,,,2.09,2.76,3.42,3.98
277,2077,,,2.09,2.78,3.46,4.03
278,2078,,,2.09,2.79,3.49,4.08
279,2079,,,2.09,2.81,3.53,4.13
280,2080,,,2.08,2.82,3.57,4.19
281,2081,,,2.08,2.84,3.61,4.24
282,2082,,,2.08,2.85,3.65,4.29
283,2083,,,2.07,2.87,3.69,4.34
284,2084,,,2.07,2.88,3.72,4.4
285,2085,,,2.06,2.9,3.76,4.45
286,2086,,,2.06,2.92,3.8,4.5
287,2087,,,2.05,2.93,3.84,4.55
288,2088,,,2.05,2.94,3.88,4.6
289,2089,,,2.04,2.95,3.93,4.65
290,2090,,,2.04,2.96,3.97,4.69
291,2091,,,2.04,2.98,4.01,4.74
292,2092,,,2.03,2.99,4.05,4.79
293,2093,,,2.03,3.0,4.1,4.83
294,2094,,,2.03,3.01,4.14,4.88
295,2095,,,2.03,3.02,4.18,4.92
296,2096,,,2.02,3.03,4.22,4.96
297,2097,,,2.02,3.03,4.26,5.01
298,2098,,,2.02,3.04,4.3,5.05
299,2099,,,2.01,3.05,4.34,5.09
300,2100,,,2.01,3.06,4.39,5.14
