Grenada,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,-0.1435483870967742,-0.0,,,,
25,1825,0.2364516129032258,-0.01,,,,
26,1826,-0.08354838709677415,-0.01,,,,
27,1827,0.11645161290322581,-0.01,,,,
28,1828,-0.07354838709677414,-0.01,,,,
29,1829,-0.08354838709677415,-0.01,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,0.3464516129032258,-0.01,,,,
47,1847,-0.16354838709677422,-0.02,,,,
48,1848,-0.1335483870967742,-0.03,,,,
49,1849,-0.19354838709677413,-0.04,,,,
50,1850,-0.06354838709677413,-0.05,0.48,0.47,0.46,0.47
51,1851,-0.06354838709677413,-0.06,0.48,0.47,0.46,0.47
52,1852,-0.10354838709677416,-0.08,0.48,0.47,0.46,0.47
53,1853,0.09645161290322585,-0.09,0.48,0.47,0.46,0.47
54,1854,-0.07354838709677414,-0.1,0.48,0.47,0.46,0.47
55,1855,0.06645161290322582,-0.11,0.48,0.47,0.46,0.47
56,1856,0.03645161290322585,-0.12,0.47,0.47,0.46,0.47
57,1857,-0.4335483870967741,-0.13,0.47,0.47,0.46,0.47
58,1858,-0.32354838709677414,-0.13,0.47,0.47,0.46,0.47
59,1859,-0.31354838709677413,-0.14,0.47,0.47,0.46,0.47
60,1860,-0.07354838709677414,-0.13,0.47,0.47,0.45,0.47
61,1861,-0.05354838709677423,-0.12,0.47,0.47,0.45,0.47
62,1862,-0.22354838709677416,-0.09,0.47,0.47,0.45,0.47
63,1863,-0.2735483870967742,-0.06,0.48,0.47,0.46,0.47
64,1864,-0.06354838709677413,-0.02,0.48,0.47,0.46,0.47
65,1865,0.09645161290322585,0.02,0.48,0.47,0.46,0.47
66,1866,0.1064516129032258,0.05,0.48,0.47,0.46,0.47
67,1867,0.19645161290322583,0.08,0.48,0.48,0.47,0.48
68,1868,0.20645161290322583,0.1,0.49,0.48,0.47,0.48
69,1869,0.3764516129032258,0.12,0.49,0.48,0.48,0.48
70,1870,-0.11354838709677417,0.13,0.5,0.49,0.48,0.49
71,1871,0.2264516129032258,0.14,0.5,0.49,0.48,0.49
72,1872,0.29645161290322586,0.13,0.5,0.49,0.49,0.49
73,1873,0.11645161290322581,0.12,0.5,0.49,0.49,0.49
74,1874,0.06645161290322582,0.1,0.5,0.49,0.49,0.49
75,1875,-0.1335483870967742,0.08,0.5,0.49,0.49,0.49
76,1876,0.0464516129032258,0.05,0.5,0.49,0.49,0.49
77,1877,0.5064516129032258,0.02,0.5,0.49,0.49,0.49
78,1878,0.5964516129032258,-0.0,0.5,0.49,0.49,0.49
79,1879,-0.19354838709677413,-0.03,0.5,0.49,0.48,0.48
80,1880,-0.5335483870967742,-0.05,0.49,0.48,0.48,0.48
81,1881,0.13645161290322583,-0.07,0.49,0.47,0.47,0.47
82,1882,-0.09354838709677415,-0.09,0.48,0.47,0.46,0.47
83,1883,-0.22354838709677416,-0.11,0.47,0.46,0.46,0.46
84,1884,-0.31354838709677413,-0.11,0.47,0.46,0.45,0.45
85,1885,0.016451612903225832,-0.11,0.46,0.45,0.45,0.45
86,1886,-0.21354838709677415,-0.11,0.46,0.45,0.45,0.45
87,1887,-0.2635483870967742,-0.11,0.46,0.45,0.44,0.44
88,1888,0.18645161290322582,-0.11,0.45,0.44,0.44,0.44
89,1889,0.5464516129032259,-0.1,0.45,0.44,0.44,0.44
90,1890,-0.6335483870967741,-0.09,0.45,0.44,0.43,0.43
91,1891,0.18645161290322582,-0.07,0.44,0.44,0.43,0.43
92,1892,-0.11354838709677417,-0.05,0.45,0.44,0.43,0.43
93,1893,-0.20354838709677414,-0.03,0.45,0.44,0.44,0.44
94,1894,-0.2635483870967742,-0.01,0.45,0.45,0.44,0.44
95,1895,-0.013548387096774195,0.01,0.46,0.45,0.45,0.45
96,1896,0.0464516129032258,0.05,0.46,0.45,0.45,0.45
97,1897,0.2564516129032258,0.09,0.46,0.45,0.45,0.45
98,1898,0.03645161290322585,0.12,0.46,0.45,0.45,0.45
99,1899,0.15645161290322585,0.14,0.46,0.45,0.45,0.45
100,1900,0.3164516129032258,0.16,0.46,0.45,0.45,0.45
101,1901,0.3364516129032258,0.16,0.46,0.45,0.45,0.44
102,1902,0.3364516129032258,0.15,0.46,0.45,0.45,0.44
103,1903,0.4364516129032258,0.13,0.46,0.45,0.45,0.44
104,1904,-0.1535483870967742,0.1,0.45,0.45,0.45,0.44
105,1905,0.15645161290322585,0.07,0.45,0.45,0.45,0.44
106,1906,0.016451612903225832,0.03,0.45,0.45,0.45,0.44
107,1907,-0.09354838709677415,-0.01,0.45,0.45,0.45,0.44
108,1908,-0.10354838709677416,-0.05,0.45,0.45,0.45,0.44
109,1909,-0.1535483870967742,-0.08,0.45,0.45,0.45,0.44
110,1910,-0.23354838709677417,-0.11,0.45,0.45,0.45,0.44
111,1911,-0.08354838709677415,-0.13,0.46,0.46,0.46,0.45
112,1912,-0.11354838709677417,-0.15,0.47,0.46,0.46,0.46
113,1913,-0.44354838709677413,-0.16,0.47,0.47,0.47,0.47
114,1914,-0.023548387096774204,-0.17,0.48,0.48,0.48,0.48
115,1915,0.1764516129032258,-0.18,0.49,0.49,0.49,0.49
116,1916,-0.21354838709677415,-0.19,0.5,0.5,0.5,0.5
117,1917,-0.5335483870967742,-0.19,0.51,0.51,0.5,0.5
118,1918,-0.33354838709677415,-0.19,0.52,0.52,0.51,0.51
119,1919,0.1064516129032258,-0.19,0.52,0.53,0.52,0.52
120,1920,-0.24354838709677418,-0.17,0.53,0.54,0.53,0.53
121,1921,-0.24354838709677418,-0.15,0.54,0.54,0.53,0.54
122,1922,-0.31354838709677413,-0.11,0.55,0.55,0.54,0.55
123,1923,-0.2735483870967742,-0.07,0.55,0.56,0.55,0.55
124,1924,0.08645161290322584,-0.03,0.56,0.56,0.55,0.56
125,1925,-0.17354838709677423,0.02,0.56,0.57,0.55,0.56
126,1926,0.29645161290322586,0.07,0.56,0.57,0.56,0.56
127,1927,0.29645161290322586,0.11,0.57,0.57,0.56,0.56
128,1928,0.24645161290322581,0.14,0.57,0.57,0.56,0.57
129,1929,0.08645161290322584,0.17,0.57,0.57,0.56,0.57
130,1930,0.27645161290322584,0.18,0.57,0.57,0.57,0.57
131,1931,0.5564516129032259,0.18,0.58,0.58,0.57,0.57
132,1932,0.3464516129032258,0.18,0.58,0.58,0.57,0.58
133,1933,0.006451612903225823,0.18,0.58,0.58,0.57,0.58
134,1934,0.08645161290322584,0.19,0.58,0.58,0.58,0.58
135,1935,-0.18354838709677412,0.2,0.59,0.58,0.58,0.58
136,1936,0.1064516129032258,0.21,0.59,0.58,0.58,0.58
137,1937,0.28645161290322585,0.23,0.59,0.58,0.58,0.58
138,1938,0.09645161290322585,0.24,0.59,0.59,0.58,0.59
139,1939,0.18645161290322582,0.25,0.59,0.59,0.59,0.59
140,1940,0.6964516129032259,0.26,0.6,0.59,0.59,0.59
141,1941,0.7364516129032258,0.27,0.6,0.59,0.59,0.59
142,1942,0.6164516129032258,0.28,0.6,0.6,0.59,0.59
143,1943,0.19645161290322583,0.29,0.6,0.6,0.59,0.59
144,1944,0.26645161290322583,0.29,0.6,0.6,0.6,0.6
145,1945,0.06645161290322582,0.28,0.61,0.6,0.6,0.6
146,1946,0.07645161290322583,0.28,0.61,0.6,0.6,0.6
147,1947,0.3564516129032258,0.27,0.61,0.61,0.6,0.6
148,1948,0.3064516129032258,0.27,0.61,0.61,0.6,0.61
149,1949,0.1664516129032258,0.27,0.62,0.61,0.61,0.61
150,1950,-0.003548387096774186,0.28,0.62,0.62,0.61,0.61
151,1951,0.3764516129032258,0.3,0.62,0.62,0.61,0.62
152,1952,0.6764516129032259,0.32,0.62,0.62,0.61,0.62
153,1953,0.4864516129032258,0.36,0.63,0.62,0.61,0.62
154,1954,0.20645161290322583,0.39,0.63,0.63,0.61,0.62
155,1955,0.27645161290322584,0.42,0.63,0.62,0.61,0.62
156,1956,0.28645161290322585,0.46,0.63,0.62,0.61,0.62
157,1957,0.3864516129032258,0.48,0.62,0.62,0.61,0.62
158,1958,0.8564516129032258,0.5,0.62,0.61,0.6,0.61
159,1959,0.5964516129032258,0.52,0.61,0.61,0.6,0.61
160,1960,0.6764516129032259,0.52,0.6,0.6,0.59,0.6
161,1961,0.6264516129032258,0.53,0.6,0.6,0.58,0.59
162,1962,0.6064516129032258,0.53,0.59,0.59,0.58,0.59
163,1963,0.7064516129032259,0.53,0.59,0.59,0.57,0.58
164,1964,0.3364516129032258,0.52,0.58,0.58,0.57,0.58
165,1965,0.40645161290322585,0.5,0.58,0.58,0.57,0.58
166,1966,0.5364516129032258,0.49,0.58,0.58,0.57,0.58
167,1967,0.2564516129032258,0.47,0.58,0.58,0.57,0.58
168,1968,0.2564516129032258,0.46,0.58,0.59,0.57,0.58
169,1969,0.8964516129032258,0.44,0.58,0.59,0.58,0.58
170,1970,0.6664516129032259,0.43,0.59,0.6,0.59,0.59
171,1971,0.18645161290322582,0.43,0.6,0.61,0.6,0.6
172,1972,0.4764516129032258,0.45,0.61,0.62,0.61,0.61
173,1973,0.6164516129032258,0.47,0.63,0.63,0.62,0.62
174,1974,0.2564516129032258,0.5,0.64,0.65,0.63,0.64
175,1975,0.15645161290322585,0.53,0.65,0.66,0.65,0.65
176,1976,0.2364516129032258,0.56,0.66,0.67,0.66,0.66
177,1977,0.6764516129032259,0.59,0.68,0.68,0.67,0.67
178,1978,0.7464516129032258,0.62,0.69,0.69,0.68,0.68
179,1979,0.7264516129032258,0.65,0.7,0.7,0.69,0.7
180,1980,0.9364516129032259,0.67,0.71,0.71,0.7,0.71
181,1981,1.016451612903226,0.69,0.72,0.72,0.71,0.72
182,1982,0.6564516129032258,0.71,0.73,0.73,0.73,0.73
183,1983,0.9064516129032258,0.72,0.75,0.74,0.74,0.74
184,1984,0.4764516129032258,0.73,0.76,0.76,0.75,0.75
185,1985,0.2564516129032258,0.73,0.77,0.76,0.76,0.77
186,1986,0.4264516129032258,0.72,0.78,0.77,0.77,0.78
187,1987,1.1964516129032257,0.72,0.79,0.78,0.79,0.79
188,1988,0.9264516129032259,0.73,0.8,0.8,0.8,0.8
189,1989,0.5764516129032258,0.75,0.82,0.81,0.81,0.81
190,1990,0.7864516129032258,0.78,0.83,0.82,0.83,0.83
191,1991,0.7464516129032258,0.82,0.85,0.84,0.84,0.84
192,1992,0.6764516129032259,0.87,0.87,0.86,0.86,0.86
193,1993,0.9264516129032259,0.91,0.89,0.88,0.88,0.88
194,1994,0.8764516129032258,0.95,0.91,0.9,0.9,0.9
195,1995,1.2764516129032257,0.98,0.93,0.92,0.93,0.92
196,1996,0.9864516129032258,1.01,0.95,0.94,0.95,0.94
197,1997,1.1664516129032259,1.04,0.97,0.96,0.97,0.96
198,1998,1.6564516129032256,1.08,0.99,0.98,0.99,0.98
199,1999,1.0964516129032258,1.11,1.01,1.0,1.01,1.0
200,2000,0.9064516129032258,1.13,1.04,1.03,1.03,1.03
201,2001,1.1564516129032258,1.15,1.06,1.05,1.06,1.05
202,2002,1.0764516129032258,1.16,1.08,1.08,1.08,1.08
203,2003,1.2964516129032257,1.17,1.11,1.1,1.11,1.1
204,2004,1.036451612903226,1.18,1.13,1.13,1.13,1.13
205,2005,1.5064516129032257,1.19,1.16,1.15,1.16,1.15
206,2006,1.286451612903226,1.2,1.18,1.18,1.18,1.18
207,2007,1.1864516129032259,1.21,1.21,1.2,1.2,1.2
208,2008,0.9564516129032259,1.22,1.23,1.22,1.23,1.22
209,2009,1.1764516129032259,1.23,1.25,1.24,1.25,1.24
210,2010,1.6964516129032257,1.24,1.27,1.26,1.27,1.26
211,2011,1.206451612903226,1.26,1.29,1.28,1.29,1.28
212,2012,1.1564516129032258,1.27,1.31,1.3,1.31,1.3
213,2013,1.206451612903226,1.3,1.33,1.33,1.33,1.33
214,2014,1.1864516129032259,1.33,1.35,1.35,1.35,1.35
215,2015,1.4164516129032259,1.36,1.37,1.37,1.37,1.37
216,2016,1.616451612903226,1.39,1.39,1.39,1.39,1.39
217,2017,1.4064516129032258,1.42,1.41,1.41,1.41,1.42
218,2018,1.1264516129032258,1.45,1.43,1.43,1.43,1.44
219,2019,1.536451612903226,1.48,1.45,1.45,1.44,1.46
220,2020,1.6364516129032256,1.52,1.46,1.48,1.46,1.48
221,2021,,,1.48,1.5,1.47,1.51
222,2022,,,1.5,1.52,1.49,1.53
223,2023,,,1.52,1.54,1.51,1.56
224,2024,,,1.54,1.56,1.52,1.58
225,2025,,,1.56,1.58,1.54,1.61
226,2026,,,1.58,1.6,1.56,1.64
227,2027,,,1.61,1.62,1.58,1.66
228,2028,,,1.63,1.65,1.6,1.69
229,2029,,,1.65,1.67,1.62,1.71
230,2030,,,1.67,1.69,1.64,1.74
231,2031,,,1.68,1.71,1.67,1.76
232,2032,,,1.7,1.72,1.69,1.79
233,2033,,,1.72,1.74,1.71,1.81
234,2034,,,1.73,1.76,1.74,1.84
235,2035,,,1.75,1.77,1.76,1.87
236,2036,,,1.76,1.79,1.78,1.89
237,2037,,,1.77,1.81,1.81,1.92
238,2038,,,1.78,1.82,1.83,1.94
239,2039,,,1.79,1.84,1.86,1.97
240,2040,,,1.8,1.86,1.88,2.0
241,2041,,,1.82,1.87,1.91,2.03
242,2042,,,1.83,1.89,1.93,2.06
243,2043,,,1.84,1.91,1.96,2.09
244,2044,,,1.84,1.92,1.98,2.12
245,2045,,,1.85,1.94,2.01,2.15
246,2046,,,1.86,1.96,2.03,2.18
247,2047,,,1.87,1.98,2.06,2.21
248,2048,,,1.87,1.99,2.08,2.24
249,2049,,,1.88,2.01,2.11,2.27
250,2050,,,1.89,2.03,2.13,2.31
251,2051,,,1.89,2.05,2.16,2.34
252,2052,,,1.9,2.07,2.19,2.37
253,2053,,,1.9,2.09,2.21,2.4
254,2054,,,1.9,2.11,2.24,2.44
255,2055,,,1.91,2.13,2.27,2.47
256,2056,,,1.91,2.15,2.29,2.5
257,2057,,,1.91,2.17,2.32,2.54
258,2058,,,1.91,2.18,2.34,2.57
259,2059,,,1.91,2.2,2.37,2.6
260,2060,,,1.91,2.22,2.39,2.63
261,2061,,,1.91,2.23,2.42,2.67
262,2062,,,1.91,2.25,2.44,2.7
263,2063,,,1.91,2.26,2.47,2.74
264,2064,,,1.91,2.27,2.49,2.77
265,2065,,,1.91,2.28,2.52,2.81
266,2066,,,1.91,2.3,2.55,2.84
267,2067,,,1.91,2.31,2.57,2.88
268,2068,,,1.91,2.32,2.59,2.91
269,2069,,,1.91,2.33,2.61,2.94
270,2070,,,1.91,2.34,2.64,2.98
271,2071,,,1.91,2.35,2.66,3.01
272,2072,,,1.91,2.36,2.69,3.04
273,2073,,,1.91,2.37,2.72,3.08
274,2074,,,1.9,2.38,2.74,3.12
275,2075,,,1.9,2.39,2.77,3.15
276,2076,,,1.9,2.4,2.8,3.19
277,2077,,,1.9,2.41,2.83,3.23
278,2078,,,1.89,2.42,2.85,3.26
279,2079,,,1.89,2.43,2.88,3.3
280,2080,,,1.89,2.44,2.91,3.34
281,2081,,,1.89,2.45,2.94,3.37
282,2082,,,1.88,2.47,2.97,3.41
283,2083,,,1.88,2.48,3.0,3.45
284,2084,,,1.88,2.49,3.03,3.48
285,2085,,,1.88,2.5,3.06,3.52
286,2086,,,1.87,2.51,3.09,3.55
287,2087,,,1.87,2.52,3.12,3.59
288,2088,,,1.87,2.53,3.15,3.63
289,2089,,,1.86,2.54,3.18,3.66
290,2090,,,1.86,2.55,3.21,3.7
291,2091,,,1.86,2.55,3.23,3.73
292,2092,,,1.85,2.56,3.26,3.77
293,2093,,,1.85,2.57,3.29,3.8
294,2094,,,1.85,2.58,3.32,3.84
295,2095,,,1.84,2.58,3.35,3.87
296,2096,,,1.84,2.59,3.38,3.91
297,2097,,,1.83,2.6,3.4,3.94
298,2098,,,1.83,2.6,3.43,3.97
299,2099,,,1.82,2.61,3.46,4.01
300,2100,,,1.82,2.61,3.49,4.05
