Liberia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,-0.16894736842105262,-0.15,,,,
50,1850,-0.14894736842105272,-0.15,0.36,0.35,0.35,0.35
51,1851,-0.10894736842105268,-0.15,0.36,0.34,0.35,0.35
52,1852,,,0.36,0.34,0.34,0.35
53,1853,,,0.35,0.34,0.34,0.35
54,1854,,,0.35,0.34,0.34,0.34
55,1855,,,0.35,0.33,0.33,0.34
56,1856,,,0.35,0.33,0.33,0.34
57,1857,-0.3489473684210527,-0.12,0.35,0.33,0.33,0.34
58,1858,-0.028947368421052666,-0.12,0.35,0.33,0.33,0.34
59,1859,0.3910526315789473,-0.12,0.35,0.33,0.32,0.33
60,1860,-0.2889473684210526,-0.11,0.34,0.32,0.32,0.33
61,1861,,,0.34,0.32,0.32,0.33
62,1862,,,0.34,0.32,0.32,0.33
63,1863,,,0.34,0.32,0.32,0.33
64,1864,,,0.34,0.32,0.32,0.33
65,1865,0.09105263157894733,-0.1,0.34,0.32,0.32,0.33
66,1866,,,0.34,0.32,0.32,0.33
67,1867,,,0.34,0.32,0.32,0.33
68,1868,,,0.34,0.32,0.33,0.33
69,1869,,,0.34,0.32,0.33,0.33
70,1870,,,0.35,0.33,0.33,0.34
71,1871,,,0.35,0.33,0.34,0.34
72,1872,,,0.35,0.33,0.34,0.34
73,1873,,,0.35,0.34,0.35,0.34
74,1874,-0.18894736842105264,-0.03,0.35,0.34,0.35,0.35
75,1875,-0.5389473684210526,-0.02,0.35,0.34,0.35,0.35
76,1876,-0.5189473684210527,-0.03,0.35,0.34,0.35,0.34
77,1877,0.12105263157894736,-0.02,0.35,0.33,0.34,0.34
78,1878,0.29105263157894734,0.02,0.35,0.33,0.34,0.34
79,1879,-0.1289473684210527,0.05,0.35,0.33,0.34,0.34
80,1880,0.5110526315789473,0.08,0.34,0.32,0.33,0.33
81,1881,0.48105263157894734,0.11,0.34,0.32,0.33,0.33
82,1882,0.18105263157894733,0.13,0.34,0.32,0.32,0.32
83,1883,0.32105263157894737,0.13,0.33,0.32,0.32,0.32
84,1884,0.24105263157894732,0.11,0.33,0.31,0.32,0.32
85,1885,-0.2489473684210527,0.09,0.33,0.31,0.32,0.32
86,1886,0.1310526315789473,0.07,0.33,0.31,0.31,0.32
87,1887,-0.1389473684210527,0.05,0.33,0.31,0.31,0.32
88,1888,-0.08894736842105266,0.04,0.33,0.31,0.31,0.31
89,1889,-0.008947368421052648,0.03,0.33,0.31,0.31,0.31
90,1890,-0.21894736842105267,0.04,0.33,0.31,0.31,0.32
91,1891,0.11105263157894735,0.05,0.34,0.32,0.32,0.32
92,1892,0.14105263157894732,0.07,0.34,0.32,0.32,0.33
93,1893,0.06105263157894736,0.09,0.35,0.33,0.33,0.33
94,1894,0.12105263157894736,0.11,0.36,0.34,0.34,0.34
95,1895,0.28105263157894733,0.14,0.36,0.35,0.35,0.35
96,1896,0.20105263157894734,0.15,0.37,0.35,0.35,0.35
97,1897,0.22105263157894733,0.15,0.37,0.35,0.36,0.36
98,1898,-0.07894736842105265,0.14,0.38,0.36,0.36,0.36
99,1899,0.47105263157894733,0.12,0.38,0.36,0.36,0.36
100,1900,0.1310526315789473,0.1,0.38,0.36,0.36,0.37
101,1901,0.3910526315789473,0.08,0.38,0.36,0.37,0.37
102,1902,0.03105263157894733,0.06,0.39,0.37,0.37,0.37
103,1903,-0.17894736842105263,0.04,0.39,0.37,0.37,0.38
104,1904,-0.5789473684210527,0.01,0.39,0.37,0.38,0.38
105,1905,-0.06894736842105265,-0.01,0.4,0.38,0.38,0.38
106,1906,0.09105263157894733,-0.02,0.4,0.38,0.38,0.38
107,1907,-0.1289473684210527,-0.02,0.4,0.38,0.38,0.39
108,1908,-0.1289473684210527,-0.01,0.4,0.38,0.39,0.39
109,1909,-0.1389473684210527,0.0,0.41,0.39,0.39,0.39
110,1910,0.24105263157894732,0.02,0.41,0.39,0.4,0.4
111,1911,-0.4089473684210526,0.03,0.42,0.4,0.4,0.4
112,1912,0.2510526315789473,0.04,0.42,0.4,0.41,0.41
113,1913,0.24105263157894732,0.06,0.43,0.41,0.42,0.42
114,1914,0.11105263157894735,0.07,0.44,0.42,0.42,0.42
115,1915,0.19105263157894734,0.1,0.44,0.43,0.43,0.43
116,1916,-0.05894736842105264,0.12,0.45,0.43,0.44,0.44
117,1917,0.04105263157894734,0.14,0.45,0.44,0.44,0.44
118,1918,-0.08894736842105266,0.16,0.46,0.44,0.44,0.44
119,1919,-0.06894736842105265,0.19,0.46,0.45,0.45,0.45
120,1920,0.42105263157894735,0.21,0.46,0.45,0.45,0.45
121,1921,0.4010526315789473,0.23,0.47,0.45,0.46,0.46
122,1922,0.3810526315789473,0.26,0.47,0.46,0.46,0.46
123,1923,0.28105263157894733,0.28,0.48,0.46,0.47,0.47
124,1924,0.29105263157894734,0.3,0.48,0.47,0.47,0.47
125,1925,0.31105263157894736,0.31,0.49,0.47,0.47,0.48
126,1926,0.6210526315789473,0.3,0.49,0.48,0.48,0.48
127,1927,0.37105263157894736,0.29,0.49,0.48,0.48,0.48
128,1928,0.11105263157894735,0.28,0.5,0.48,0.48,0.49
129,1929,0.23105263157894734,0.26,0.5,0.49,0.49,0.49
130,1930,0.31105263157894736,0.25,0.51,0.5,0.5,0.5
131,1931,0.2610526315789473,0.25,0.51,0.5,0.5,0.5
132,1932,-0.20894736842105266,0.24,0.52,0.51,0.51,0.51
133,1933,0.18105263157894733,0.24,0.53,0.51,0.51,0.52
134,1934,0.2710526315789473,0.25,0.54,0.52,0.52,0.52
135,1935,0.14105263157894732,0.27,0.54,0.53,0.53,0.53
136,1936,0.28105263157894733,0.29,0.55,0.54,0.54,0.54
137,1937,0.42105263157894735,0.3,0.56,0.54,0.55,0.55
138,1938,0.3310526315789473,0.32,0.57,0.55,0.56,0.56
139,1939,0.2510526315789473,0.34,0.57,0.56,0.56,0.56
140,1940,0.9010526315789473,0.35,0.58,0.56,0.57,0.57
141,1941,0.8210526315789473,0.36,0.58,0.57,0.58,0.58
142,1942,0.23105263157894734,0.37,0.59,0.58,0.58,0.58
143,1943,0.05105263157894735,0.37,0.6,0.58,0.59,0.59
144,1944,0.6010526315789473,0.36,0.6,0.59,0.6,0.59
145,1945,0.4510526315789473,0.35,0.61,0.6,0.6,0.6
146,1946,0.3310526315789473,0.34,0.61,0.6,0.61,0.61
147,1947,0.48105263157894734,0.32,0.62,0.61,0.61,0.61
148,1948,0.12105263157894736,0.31,0.62,0.61,0.62,0.62
149,1949,0.2610526315789473,0.3,0.62,0.62,0.62,0.62
150,1950,0.1310526315789473,0.28,0.63,0.62,0.62,0.62
151,1951,0.29105263157894734,0.27,0.63,0.62,0.62,0.63
152,1952,0.3310526315789473,0.26,0.63,0.63,0.63,0.63
153,1953,0.4010526315789473,0.27,0.64,0.63,0.63,0.64
154,1954,0.10105263157894734,0.28,0.64,0.64,0.64,0.64
155,1955,0.20105263157894734,0.29,0.65,0.64,0.64,0.65
156,1956,0.05105263157894735,0.31,0.65,0.65,0.64,0.65
157,1957,0.3810526315789473,0.32,0.65,0.65,0.64,0.65
158,1958,0.44105263157894736,0.32,0.65,0.65,0.64,0.65
159,1959,0.4510526315789473,0.33,0.65,0.64,0.64,0.65
160,1960,0.4510526315789473,0.33,0.65,0.64,0.64,0.64
161,1961,0.3310526315789473,0.34,0.64,0.64,0.63,0.64
162,1962,0.2510526315789473,0.35,0.64,0.64,0.63,0.64
163,1963,0.5510526315789473,0.36,0.65,0.64,0.63,0.64
164,1964,0.24105263157894732,0.37,0.65,0.64,0.64,0.64
165,1965,0.14105263157894732,0.37,0.65,0.64,0.64,0.64
166,1966,0.4510526315789473,0.38,0.65,0.64,0.64,0.65
167,1967,0.18105263157894733,0.4,0.65,0.64,0.64,0.65
168,1968,0.3910526315789473,0.41,0.65,0.64,0.64,0.65
169,1969,0.5610526315789474,0.43,0.65,0.64,0.64,0.64
170,1970,0.6610526315789473,0.44,0.65,0.65,0.64,0.65
171,1971,0.29105263157894734,0.46,0.66,0.65,0.65,0.65
172,1972,0.5510526315789473,0.48,0.67,0.66,0.66,0.66
173,1973,0.9310526315789474,0.5,0.68,0.67,0.67,0.67
174,1974,0.41105263157894734,0.53,0.69,0.69,0.69,0.69
175,1975,0.29105263157894734,0.55,0.71,0.7,0.7,0.7
176,1976,0.12105263157894736,0.57,0.72,0.71,0.72,0.71
177,1977,0.6910526315789474,0.59,0.73,0.73,0.73,0.73
178,1978,0.5810526315789474,0.6,0.74,0.74,0.74,0.74
179,1979,0.8610526315789473,0.62,0.75,0.75,0.75,0.75
180,1980,0.7810526315789473,0.64,0.77,0.76,0.77,0.76
181,1981,0.7010526315789474,0.66,0.78,0.77,0.78,0.78
182,1982,0.5210526315789473,0.68,0.79,0.79,0.79,0.79
183,1983,0.8510526315789473,0.7,0.81,0.8,0.81,0.8
184,1984,0.6810526315789474,0.72,0.82,0.81,0.82,0.82
185,1985,0.5310526315789473,0.73,0.83,0.83,0.84,0.83
186,1986,0.4610526315789473,0.74,0.85,0.84,0.85,0.85
187,1987,1.3410526315789473,0.76,0.86,0.85,0.86,0.86
188,1988,0.9610526315789474,0.78,0.87,0.86,0.87,0.87
189,1989,0.7410526315789474,0.81,0.88,0.88,0.89,0.88
190,1990,0.8710526315789473,0.84,0.9,0.89,0.9,0.9
191,1991,0.8810526315789473,0.88,0.92,0.91,0.91,0.91
192,1992,0.7510526315789474,0.92,0.94,0.93,0.93,0.93
193,1993,0.9410526315789474,0.96,0.96,0.95,0.95,0.95
194,1994,0.8810526315789473,0.99,0.98,0.97,0.97,0.97
195,1995,1.1510526315789473,1.01,1.0,0.99,0.99,0.99
196,1996,1.1710526315789473,1.04,1.02,1.01,1.01,1.01
197,1997,1.1510526315789473,1.07,1.04,1.03,1.03,1.03
198,1998,1.5810526315789473,1.11,1.06,1.05,1.05,1.05
199,1999,0.9910526315789473,1.15,1.08,1.07,1.07,1.07
200,2000,0.9010526315789473,1.18,1.1,1.09,1.1,1.09
201,2001,1.1810526315789474,1.21,1.12,1.12,1.12,1.11
202,2002,1.1510526315789473,1.24,1.15,1.14,1.15,1.14
203,2003,1.3410526315789473,1.27,1.17,1.17,1.17,1.16
204,2004,1.2810526315789472,1.3,1.19,1.19,1.2,1.19
205,2005,1.5010526315789474,1.32,1.22,1.22,1.22,1.22
206,2006,1.4410526315789474,1.34,1.24,1.24,1.25,1.24
207,2007,1.3810526315789473,1.35,1.27,1.27,1.27,1.27
208,2008,1.3210526315789473,1.36,1.29,1.29,1.3,1.29
209,2009,1.5810526315789473,1.36,1.31,1.31,1.32,1.31
210,2010,1.5910526315789473,1.36,1.33,1.34,1.34,1.34
211,2011,1.2710526315789474,1.37,1.36,1.36,1.36,1.36
212,2012,1.0410526315789475,1.37,1.38,1.38,1.39,1.38
213,2013,1.1410526315789473,1.39,1.41,1.41,1.41,1.41
214,2014,1.1110526315789473,1.41,1.44,1.44,1.44,1.44
215,2015,1.4010526315789473,1.42,1.47,1.47,1.46,1.47
216,2016,1.6110526315789473,1.44,1.5,1.49,1.49,1.49
217,2017,1.6510526315789473,1.46,1.52,1.52,1.51,1.52
218,2018,1.4110526315789473,1.48,1.55,1.54,1.54,1.55
219,2019,1.5410526315789472,1.5,1.57,1.57,1.56,1.57
220,2020,1.5410526315789472,1.52,1.6,1.59,1.58,1.6
221,2021,,,1.62,1.62,1.61,1.63
222,2022,,,1.65,1.64,1.63,1.65
223,2023,,,1.67,1.67,1.66,1.68
224,2024,,,1.69,1.69,1.69,1.71
225,2025,,,1.72,1.71,1.71,1.74
226,2026,,,1.74,1.74,1.74,1.77
227,2027,,,1.77,1.76,1.77,1.8
228,2028,,,1.79,1.79,1.8,1.83
229,2029,,,1.81,1.81,1.83,1.87
230,2030,,,1.84,1.84,1.85,1.9
231,2031,,,1.86,1.86,1.88,1.93
232,2032,,,1.88,1.88,1.91,1.96
233,2033,,,1.9,1.9,1.94,2.0
234,2034,,,1.91,1.92,1.97,2.03
235,2035,,,1.93,1.95,2.0,2.07
236,2036,,,1.95,1.97,2.03,2.1
237,2037,,,1.96,1.99,2.07,2.14
238,2038,,,1.98,2.01,2.1,2.18
239,2039,,,1.99,2.04,2.13,2.22
240,2040,,,2.01,2.06,2.16,2.26
241,2041,,,2.02,2.08,2.19,2.3
242,2042,,,2.03,2.11,2.23,2.34
243,2043,,,2.04,2.13,2.26,2.38
244,2044,,,2.05,2.15,2.29,2.42
245,2045,,,2.06,2.17,2.33,2.46
246,2046,,,2.07,2.2,2.36,2.5
247,2047,,,2.08,2.22,2.4,2.54
248,2048,,,2.08,2.25,2.43,2.58
249,2049,,,2.09,2.27,2.46,2.62
250,2050,,,2.1,2.29,2.49,2.67
251,2051,,,2.1,2.32,2.53,2.71
252,2052,,,2.11,2.35,2.56,2.75
253,2053,,,2.12,2.37,2.59,2.8
254,2054,,,2.12,2.39,2.63,2.84
255,2055,,,2.13,2.42,2.66,2.88
256,2056,,,2.13,2.44,2.69,2.92
257,2057,,,2.14,2.46,2.72,2.97
258,2058,,,2.14,2.48,2.76,3.01
259,2059,,,2.14,2.51,2.79,3.05
260,2060,,,2.15,2.53,2.82,3.09
261,2061,,,2.15,2.55,2.85,3.14
262,2062,,,2.15,2.57,2.89,3.18
263,2063,,,2.16,2.58,2.92,3.23
264,2064,,,2.16,2.6,2.95,3.27
265,2065,,,2.16,2.62,2.99,3.31
266,2066,,,2.16,2.64,3.02,3.36
267,2067,,,2.16,2.65,3.06,3.4
268,2068,,,2.16,2.67,3.09,3.44
269,2069,,,2.17,2.69,3.12,3.49
270,2070,,,2.16,2.7,3.15,3.53
271,2071,,,2.16,2.72,3.19,3.58
272,2072,,,2.16,2.74,3.22,3.62
273,2073,,,2.16,2.75,3.26,3.67
274,2074,,,2.16,2.77,3.29,3.72
275,2075,,,2.16,2.79,3.33,3.77
276,2076,,,2.16,2.8,3.37,3.81
277,2077,,,2.16,2.82,3.4,3.86
278,2078,,,2.15,2.83,3.44,3.91
279,2079,,,2.15,2.84,3.48,3.96
280,2080,,,2.15,2.86,3.51,4.01
281,2081,,,2.14,2.87,3.55,4.06
282,2082,,,2.14,2.88,3.58,4.11
283,2083,,,2.13,2.9,3.62,4.16
284,2084,,,2.13,2.91,3.65,4.21
285,2085,,,2.12,2.92,3.69,4.26
286,2086,,,2.12,2.94,3.72,4.31
287,2087,,,2.11,2.95,3.76,4.36
288,2088,,,2.1,2.96,3.79,4.41
289,2089,,,2.1,2.97,3.83,4.45
290,2090,,,2.09,2.98,3.87,4.5
291,2091,,,2.09,3.0,3.91,4.55
292,2092,,,2.08,3.01,3.94,4.59
293,2093,,,2.07,3.02,3.98,4.64
294,2094,,,2.07,3.03,4.02,4.68
295,2095,,,2.06,3.04,4.05,4.73
296,2096,,,2.06,3.06,4.09,4.77
297,2097,,,2.05,3.06,4.13,4.82
298,2098,,,2.05,3.07,4.16,4.86
299,2099,,,2.04,3.08,4.2,4.9
300,2100,,,2.04,3.1,4.24,4.95
