New Caledonia,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.33,0.32,0.32,0.33
51,1851,,,0.33,0.32,0.32,0.33
52,1852,,,0.33,0.32,0.32,0.33
53,1853,,,0.33,0.32,0.33,0.33
54,1854,,,0.33,0.32,0.33,0.33
55,1855,,,0.33,0.32,0.33,0.33
56,1856,,,0.33,0.32,0.34,0.33
57,1857,,,0.33,0.32,0.34,0.33
58,1858,-0.04481481481481486,-0.09,0.33,0.32,0.34,0.33
59,1859,0.04518518518518516,-0.09,0.33,0.32,0.34,0.33
60,1860,,,0.34,0.33,0.35,0.33
61,1861,-0.27481481481481485,-0.07,0.34,0.33,0.35,0.33
62,1862,,,0.34,0.33,0.35,0.33
63,1863,0.005185185185185182,-0.06,0.34,0.33,0.35,0.33
64,1864,-0.2148148148148148,-0.05,0.34,0.33,0.36,0.34
65,1865,,,0.35,0.34,0.36,0.34
66,1866,,,0.35,0.34,0.37,0.35
67,1867,0.34518518518518515,-0.03,0.36,0.34,0.37,0.35
68,1868,-0.2248148148148148,-0.02,0.36,0.35,0.37,0.36
69,1869,-0.05481481481481487,-0.01,0.36,0.35,0.38,0.36
70,1870,-0.004814814814814827,0.01,0.37,0.35,0.38,0.36
71,1871,0.13518518518518519,0.02,0.37,0.35,0.38,0.36
72,1872,-0.024814814814814845,0.03,0.37,0.36,0.38,0.36
73,1873,-0.014814814814814836,0.04,0.37,0.36,0.38,0.36
74,1874,0.06518518518518518,0.04,0.37,0.35,0.37,0.36
75,1875,-0.014814814814814836,0.04,0.37,0.35,0.37,0.36
76,1876,0.11518518518518517,0.04,0.37,0.35,0.37,0.36
77,1877,0.3951851851851852,0.03,0.36,0.34,0.36,0.35
78,1878,0.7551851851851852,0.02,0.36,0.34,0.36,0.35
79,1879,-0.05481481481481487,0.0,0.35,0.33,0.35,0.34
80,1880,-0.2248148148148148,-0.01,0.34,0.33,0.35,0.33
81,1881,0.11518518518518517,-0.03,0.34,0.32,0.34,0.33
82,1882,-0.034814814814814854,-0.05,0.34,0.32,0.34,0.33
83,1883,-0.41481481481481486,-0.06,0.34,0.32,0.34,0.33
84,1884,-0.13481481481481483,-0.08,0.34,0.32,0.34,0.33
85,1885,-0.11481481481481481,-0.08,0.35,0.33,0.34,0.33
86,1886,0.03518518518518521,-0.07,0.35,0.33,0.35,0.34
87,1887,-0.2348148148148148,-0.05,0.35,0.33,0.35,0.34
88,1888,-0.05481481481481487,-0.04,0.35,0.34,0.35,0.34
89,1889,0.2151851851851852,-0.02,0.36,0.34,0.36,0.35
90,1890,-0.08481481481481479,-0.0,0.36,0.34,0.36,0.35
91,1891,-0.08481481481481479,0.02,0.37,0.35,0.36,0.35
92,1892,0.0851851851851852,0.05,0.37,0.36,0.37,0.36
93,1893,0.6251851851851852,0.07,0.38,0.36,0.38,0.37
94,1894,-0.14481481481481484,0.09,0.39,0.37,0.39,0.38
95,1895,-0.024814814814814845,0.1,0.39,0.38,0.4,0.38
96,1896,0.0851851851851852,0.11,0.4,0.38,0.4,0.39
97,1897,0.48518518518518516,0.11,0.4,0.39,0.4,0.39
98,1898,0.35518518518518516,0.11,0.4,0.39,0.41,0.39
99,1899,0.005185185185185182,0.09,0.4,0.38,0.41,0.39
100,1900,-0.05481481481481487,0.08,0.4,0.38,0.41,0.39
101,1901,0.7151851851851851,0.07,0.4,0.38,0.41,0.39
102,1902,-0.13481481481481483,0.07,0.4,0.38,0.41,0.39
103,1903,0.36518518518518517,0.08,0.4,0.38,0.41,0.39
104,1904,-0.3648148148148148,0.09,0.4,0.39,0.41,0.39
105,1905,-0.19481481481481477,0.09,0.4,0.39,0.41,0.39
106,1906,-0.2548148148148148,0.1,0.4,0.39,0.41,0.39
107,1907,0.6251851851851852,0.12,0.4,0.39,0.41,0.4
108,1908,0.5251851851851852,0.14,0.41,0.39,0.41,0.4
109,1909,-0.9448148148148148,0.16,0.41,0.39,0.41,0.4
110,1910,0.16518518518518516,0.19,0.41,0.4,0.42,0.4
111,1911,0.2051851851851852,0.22,0.42,0.4,0.42,0.41
112,1912,0.2151851851851852,0.24,0.43,0.41,0.42,0.42
113,1913,0.2151851851851852,0.25,0.43,0.42,0.43,0.42
114,1914,0.23518518518518516,0.24,0.44,0.42,0.44,0.43
115,1915,0.5151851851851852,0.23,0.45,0.43,0.44,0.44
116,1916,0.3751851851851852,0.23,0.45,0.43,0.45,0.44
117,1917,-0.07481481481481478,0.23,0.46,0.44,0.45,0.45
118,1918,0.1451851851851852,0.23,0.47,0.45,0.46,0.45
119,1919,0.23518518518518516,0.23,0.47,0.45,0.46,0.46
120,1920,0.2151851851851852,0.22,0.48,0.46,0.47,0.47
121,1921,0.22518518518518515,0.22,0.48,0.46,0.48,0.47
122,1922,0.35518518518518516,0.21,0.49,0.47,0.48,0.48
123,1923,0.07518518518518519,0.21,0.49,0.47,0.49,0.48
124,1924,0.48518518518518516,0.21,0.5,0.48,0.49,0.49
125,1925,-0.15481481481481485,0.21,0.5,0.48,0.5,0.49
126,1926,0.3751851851851852,0.21,0.5,0.49,0.5,0.49
127,1927,0.11518518518518517,0.2,0.51,0.49,0.51,0.5
128,1928,0.18518518518518517,0.2,0.51,0.49,0.51,0.5
129,1929,0.24518518518518517,0.19,0.51,0.5,0.52,0.51
130,1930,-0.014814814814814836,0.19,0.52,0.5,0.52,0.51
131,1931,0.7651851851851852,0.18,0.52,0.51,0.53,0.52
132,1932,0.005185185185185182,0.18,0.53,0.51,0.53,0.52
133,1933,0.5351851851851852,0.18,0.53,0.52,0.54,0.52
134,1934,-0.014814814814814836,0.19,0.53,0.52,0.54,0.53
135,1935,0.07518518518518519,0.2,0.54,0.52,0.54,0.53
136,1936,0.24518518518518517,0.21,0.54,0.53,0.54,0.53
137,1937,0.07518518518518519,0.23,0.54,0.53,0.55,0.54
138,1938,0.4951851851851852,0.25,0.54,0.53,0.55,0.54
139,1939,-0.06481481481481477,0.28,0.54,0.53,0.55,0.54
140,1940,0.2051851851851852,0.3,0.54,0.53,0.55,0.54
141,1941,0.3751851851851852,0.33,0.55,0.54,0.55,0.54
142,1942,0.8451851851851853,0.36,0.55,0.54,0.55,0.54
143,1943,0.5851851851851851,0.4,0.55,0.53,0.55,0.54
144,1944,0.0951851851851852,0.43,0.55,0.53,0.55,0.54
145,1945,0.3251851851851852,0.46,0.55,0.53,0.55,0.54
146,1946,0.48518518518518516,0.48,0.55,0.53,0.55,0.54
147,1947,0.6851851851851851,0.5,0.55,0.54,0.55,0.54
148,1948,0.5551851851851852,0.52,0.55,0.54,0.55,0.54
149,1949,0.5451851851851852,0.53,0.56,0.54,0.55,0.55
150,1950,0.6551851851851852,0.54,0.56,0.55,0.55,0.55
151,1951,0.2651851851851852,0.55,0.57,0.55,0.56,0.56
152,1952,0.8351851851851853,0.55,0.57,0.56,0.57,0.57
153,1953,0.5751851851851852,0.54,0.58,0.57,0.57,0.57
154,1954,0.5151851851851852,0.53,0.59,0.58,0.58,0.58
155,1955,0.6651851851851852,0.51,0.6,0.58,0.58,0.59
156,1956,0.5151851851851852,0.49,0.6,0.59,0.58,0.6
157,1957,0.23518518518518516,0.48,0.61,0.59,0.59,0.6
158,1958,0.7151851851851851,0.46,0.61,0.59,0.58,0.6
159,1959,0.2751851851851852,0.44,0.61,0.59,0.58,0.6
160,1960,0.24518518518518517,0.42,0.6,0.59,0.58,0.6
161,1961,0.42518518518518517,0.4,0.6,0.59,0.58,0.6
162,1962,0.5451851851851852,0.39,0.6,0.59,0.58,0.6
163,1963,0.30518518518518517,0.39,0.6,0.59,0.58,0.6
164,1964,0.7251851851851852,0.4,0.6,0.59,0.58,0.6
165,1965,-0.17481481481481487,0.41,0.6,0.59,0.58,0.6
166,1966,-0.0948148148148148,0.43,0.6,0.59,0.58,0.6
167,1967,0.6451851851851852,0.44,0.6,0.59,0.58,0.59
168,1968,0.13518518518518519,0.46,0.6,0.58,0.58,0.59
169,1969,0.4951851851851852,0.48,0.6,0.58,0.58,0.59
170,1970,0.9151851851851851,0.5,0.6,0.58,0.58,0.59
171,1971,0.5751851851851852,0.52,0.6,0.59,0.59,0.59
172,1972,0.2951851851851852,0.54,0.61,0.6,0.6,0.6
173,1973,1.375185185185185,0.56,0.62,0.61,0.61,0.61
174,1974,0.6551851851851852,0.57,0.63,0.62,0.62,0.62
175,1975,0.8251851851851852,0.58,0.64,0.63,0.63,0.64
176,1976,0.6151851851851852,0.59,0.65,0.64,0.64,0.65
177,1977,0.3251851851851852,0.61,0.67,0.66,0.66,0.66
178,1978,0.5651851851851852,0.62,0.68,0.67,0.67,0.67
179,1979,0.5451851851851852,0.64,0.69,0.68,0.68,0.68
180,1980,0.6251851851851852,0.66,0.7,0.69,0.69,0.7
181,1981,0.7651851851851852,0.67,0.72,0.71,0.71,0.71
182,1982,0.4151851851851852,0.69,0.73,0.72,0.72,0.72
183,1983,0.9751851851851852,0.71,0.75,0.74,0.74,0.74
184,1984,0.8651851851851852,0.73,0.77,0.76,0.76,0.76
185,1985,0.8751851851851852,0.75,0.79,0.77,0.78,0.77
186,1986,0.6551851851851852,0.75,0.8,0.79,0.79,0.79
187,1987,0.5851851851851851,0.75,0.81,0.8,0.81,0.8
188,1988,1.4851851851851852,0.74,0.83,0.82,0.82,0.82
189,1989,0.8351851851851853,0.74,0.84,0.83,0.84,0.83
190,1990,1.085185185185185,0.75,0.85,0.84,0.85,0.84
191,1991,0.4451851851851852,0.76,0.87,0.86,0.87,0.86
192,1992,0.5551851851851852,0.79,0.88,0.88,0.88,0.87
193,1993,0.3851851851851852,0.81,0.9,0.89,0.9,0.89
194,1994,0.2651851851851852,0.84,0.91,0.91,0.92,0.91
195,1995,1.3051851851851852,0.87,0.93,0.92,0.93,0.92
196,1996,1.2851851851851852,0.89,0.94,0.94,0.95,0.94
197,1997,0.8351851851851853,0.93,0.96,0.95,0.96,0.95
198,1998,1.9651851851851851,0.96,0.97,0.97,0.97,0.97
199,1999,1.1951851851851851,1.0,0.99,0.98,0.99,0.98
200,2000,0.9351851851851851,1.03,1.0,1.0,1.01,1.0
201,2001,1.1551851851851853,1.05,1.02,1.02,1.03,1.02
202,2002,1.1151851851851853,1.06,1.04,1.04,1.04,1.04
203,2003,0.9151851851851851,1.07,1.06,1.05,1.06,1.06
204,2004,1.0051851851851852,1.09,1.08,1.07,1.08,1.07
205,2005,1.0151851851851852,1.11,1.1,1.09,1.1,1.09
206,2006,0.8351851851851853,1.13,1.11,1.11,1.11,1.11
207,2007,1.4251851851851853,1.14,1.13,1.12,1.13,1.13
208,2008,1.3651851851851853,1.14,1.15,1.14,1.15,1.15
209,2009,1.0051851851851852,1.15,1.17,1.16,1.17,1.17
210,2010,1.665185185185185,1.17,1.19,1.18,1.19,1.19
211,2011,1.3451851851851853,1.2,1.21,1.2,1.21,1.21
212,2012,1.0551851851851852,1.22,1.23,1.22,1.23,1.23
213,2013,0.9451851851851851,1.24,1.24,1.25,1.24,1.25
214,2014,1.0751851851851852,1.26,1.27,1.27,1.26,1.27
215,2015,1.0251851851851852,1.28,1.29,1.29,1.28,1.29
216,2016,1.655185185185185,1.31,1.31,1.31,1.3,1.31
217,2017,1.5451851851851852,1.33,1.33,1.33,1.32,1.33
218,2018,1.1951851851851851,1.35,1.35,1.35,1.35,1.35
219,2019,1.2451851851851852,1.38,1.37,1.37,1.37,1.37
220,2020,1.635185185185185,1.4,1.39,1.39,1.39,1.39
221,2021,,,1.41,1.41,1.41,1.42
222,2022,,,1.43,1.43,1.43,1.44
223,2023,,,1.44,1.44,1.45,1.47
224,2024,,,1.46,1.46,1.47,1.49
225,2025,,,1.48,1.48,1.49,1.52
226,2026,,,1.5,1.49,1.51,1.55
227,2027,,,1.52,1.51,1.53,1.58
228,2028,,,1.54,1.53,1.56,1.6
229,2029,,,1.56,1.55,1.58,1.63
230,2030,,,1.57,1.56,1.6,1.66
231,2031,,,1.59,1.58,1.62,1.69
232,2032,,,1.6,1.6,1.64,1.72
233,2033,,,1.61,1.62,1.66,1.75
234,2034,,,1.62,1.63,1.68,1.78
235,2035,,,1.63,1.65,1.7,1.8
236,2036,,,1.64,1.67,1.73,1.83
237,2037,,,1.65,1.69,1.75,1.86
238,2038,,,1.66,1.71,1.77,1.89
239,2039,,,1.67,1.73,1.79,1.92
240,2040,,,1.68,1.75,1.82,1.95
241,2041,,,1.69,1.77,1.85,1.98
242,2042,,,1.7,1.79,1.87,2.01
243,2043,,,1.71,1.81,1.9,2.05
244,2044,,,1.71,1.82,1.92,2.08
245,2045,,,1.72,1.84,1.95,2.11
246,2046,,,1.73,1.86,1.98,2.15
247,2047,,,1.74,1.88,2.01,2.18
248,2048,,,1.74,1.9,2.04,2.22
249,2049,,,1.75,1.92,2.06,2.25
250,2050,,,1.75,1.93,2.09,2.29
251,2051,,,1.76,1.96,2.12,2.32
252,2052,,,1.77,1.97,2.15,2.36
253,2053,,,1.77,1.99,2.18,2.4
254,2054,,,1.78,2.01,2.21,2.43
255,2055,,,1.78,2.03,2.24,2.46
256,2056,,,1.78,2.05,2.27,2.5
257,2057,,,1.79,2.07,2.3,2.53
258,2058,,,1.79,2.09,2.33,2.57
259,2059,,,1.79,2.11,2.36,2.6
260,2060,,,1.79,2.12,2.39,2.63
261,2061,,,1.79,2.14,2.41,2.67
262,2062,,,1.8,2.16,2.44,2.7
263,2063,,,1.8,2.17,2.47,2.74
264,2064,,,1.8,2.18,2.5,2.78
265,2065,,,1.8,2.2,2.52,2.81
266,2066,,,1.8,2.21,2.55,2.85
267,2067,,,1.8,2.22,2.58,2.89
268,2068,,,1.8,2.23,2.6,2.93
269,2069,,,1.8,2.25,2.63,2.97
270,2070,,,1.8,2.26,2.65,3.02
271,2071,,,1.79,2.27,2.68,3.06
272,2072,,,1.79,2.28,2.71,3.1
273,2073,,,1.79,2.3,2.74,3.14
274,2074,,,1.78,2.31,2.77,3.19
275,2075,,,1.78,2.32,2.8,3.23
276,2076,,,1.78,2.34,2.84,3.28
277,2077,,,1.77,2.35,2.87,3.32
278,2078,,,1.77,2.37,2.9,3.36
279,2079,,,1.76,2.38,2.93,3.41
280,2080,,,1.76,2.39,2.96,3.45
281,2081,,,1.76,2.41,2.99,3.49
282,2082,,,1.76,2.42,3.02,3.54
283,2083,,,1.76,2.43,3.06,3.58
284,2084,,,1.76,2.43,3.09,3.62
285,2085,,,1.76,2.44,3.12,3.66
286,2086,,,1.76,2.45,3.15,3.7
287,2087,,,1.76,2.46,3.18,3.74
288,2088,,,1.76,2.47,3.21,3.79
289,2089,,,1.76,2.48,3.25,3.83
290,2090,,,1.77,2.49,3.28,3.87
291,2091,,,1.77,2.5,3.31,3.91
292,2092,,,1.76,2.5,3.34,3.95
293,2093,,,1.76,2.51,3.38,3.99
294,2094,,,1.76,2.52,3.41,4.03
295,2095,,,1.76,2.53,3.44,4.07
296,2096,,,1.76,2.53,3.47,4.11
297,2097,,,1.76,2.54,3.5,4.15
298,2098,,,1.76,2.55,3.54,4.19
299,2099,,,1.76,2.55,3.57,4.23
300,2100,,,1.76,2.56,3.6,4.27
