Panama,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,0.046333333333333226,-0.02,,,,
25,1825,-0.07366666666666677,-0.02,,,,
26,1826,0.02633333333333321,-0.03,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,-0.8236666666666667,-0.09,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,0.36,0.36,0.39,0.36
51,1851,-0.08366666666666678,-0.15,0.36,0.36,0.38,0.36
52,1852,-0.3636666666666667,-0.14,0.36,0.36,0.38,0.35
53,1853,-0.14366666666666672,-0.14,0.36,0.35,0.37,0.35
54,1854,-0.17366666666666675,-0.15,0.35,0.35,0.37,0.35
55,1855,-0.08366666666666678,-0.15,0.35,0.35,0.37,0.35
56,1856,0.25633333333333325,-0.16,0.35,0.35,0.36,0.34
57,1857,-0.3736666666666667,-0.16,0.35,0.34,0.36,0.34
58,1858,-0.05366666666666675,-0.16,0.35,0.34,0.36,0.34
59,1859,-0.08366666666666678,-0.16,0.35,0.34,0.35,0.34
60,1860,-0.21366666666666678,-0.17,0.35,0.34,0.35,0.33
61,1861,-0.21366666666666678,-0.18,0.34,0.33,0.35,0.33
62,1862,-0.5236666666666668,-0.18,0.34,0.33,0.34,0.33
63,1863,-0.07366666666666677,-0.17,0.34,0.33,0.34,0.33
64,1864,-0.2736666666666667,-0.16,0.34,0.33,0.34,0.33
65,1865,-0.05366666666666675,-0.14,0.34,0.33,0.34,0.33
66,1866,-0.3436666666666668,-0.12,0.34,0.33,0.34,0.33
67,1867,0.09633333333333327,-0.1,0.34,0.33,0.34,0.33
68,1868,0.06633333333333324,-0.07,0.34,0.33,0.34,0.33
69,1869,0.9263333333333332,-0.05,0.34,0.33,0.34,0.33
70,1870,-0.08366666666666678,-0.03,0.34,0.33,0.35,0.33
71,1871,-0.2636666666666667,-0.0,0.34,0.33,0.35,0.33
72,1872,0.34633333333333327,0.02,0.34,0.34,0.35,0.33
73,1873,-0.08366666666666678,0.05,0.34,0.34,0.36,0.33
74,1874,-0.013666666666666716,0.06,0.34,0.34,0.36,0.33
75,1875,0.02633333333333321,0.08,0.34,0.34,0.36,0.33
76,1876,0.21633333333333327,0.08,0.34,0.34,0.36,0.33
77,1877,0.4863333333333333,0.08,0.34,0.34,0.36,0.34
78,1878,1.0463333333333331,0.06,0.34,0.34,0.36,0.33
79,1879,0.08633333333333326,0.03,0.34,0.34,0.36,0.33
80,1880,-0.05366666666666675,0.01,0.34,0.34,0.35,0.33
81,1881,0.19633333333333325,-0.01,0.33,0.33,0.35,0.32
82,1882,-0.17366666666666675,-0.05,0.33,0.33,0.35,0.32
83,1883,-0.32366666666666677,-0.08,0.33,0.33,0.34,0.32
84,1884,-0.31366666666666676,-0.11,0.33,0.32,0.34,0.32
85,1885,-0.08366666666666678,-0.12,0.32,0.32,0.34,0.32
86,1886,0.09633333333333327,-0.13,0.32,0.32,0.34,0.31
87,1887,-0.29366666666666674,-0.13,0.32,0.32,0.34,0.31
88,1888,-0.14366666666666672,-0.14,0.32,0.32,0.33,0.31
89,1889,0.42633333333333323,-0.13,0.32,0.32,0.33,0.31
90,1890,-0.5836666666666667,-0.12,0.32,0.32,0.33,0.31
91,1891,0.22633333333333328,-0.09,0.32,0.32,0.33,0.31
92,1892,-0.2636666666666667,-0.06,0.32,0.32,0.34,0.31
93,1893,-0.3836666666666667,-0.02,0.32,0.33,0.34,0.32
94,1894,-0.2536666666666667,0.02,0.33,0.33,0.35,0.32
95,1895,0.10633333333333328,0.07,0.33,0.33,0.36,0.33
96,1896,0.33633333333333326,0.12,0.33,0.34,0.36,0.33
97,1897,0.5763333333333333,0.17,0.33,0.34,0.36,0.33
98,1898,0.11633333333333323,0.21,0.33,0.34,0.36,0.33
99,1899,0.4163333333333332,0.24,0.33,0.34,0.36,0.33
100,1900,0.6263333333333333,0.25,0.33,0.34,0.36,0.33
101,1901,0.07633333333333325,0.25,0.34,0.34,0.37,0.33
102,1902,0.21633333333333327,0.23,0.34,0.34,0.37,0.33
103,1903,0.3663333333333333,0.19,0.34,0.34,0.37,0.34
104,1904,-0.09366666666666679,0.15,0.34,0.35,0.37,0.34
105,1905,0.22633333333333328,0.11,0.35,0.35,0.37,0.34
106,1906,0.11633333333333323,0.07,0.35,0.35,0.38,0.34
107,1907,-0.023666666666666725,0.04,0.35,0.35,0.38,0.34
108,1908,0.03633333333333322,0.03,0.35,0.35,0.38,0.35
109,1909,-0.05366666666666675,0.03,0.36,0.36,0.38,0.35
110,1910,-0.3936666666666667,0.04,0.36,0.36,0.39,0.36
111,1911,-0.1336666666666667,0.06,0.37,0.37,0.39,0.36
112,1912,0.27633333333333326,0.08,0.38,0.38,0.4,0.37
113,1913,-0.09366666666666679,0.09,0.39,0.39,0.41,0.38
114,1914,0.43633333333333324,0.11,0.39,0.4,0.42,0.39
115,1915,0.6863333333333332,0.14,0.4,0.41,0.42,0.4
116,1916,0.15633333333333327,0.18,0.41,0.41,0.43,0.4
117,1917,-0.5636666666666666,0.2,0.41,0.42,0.43,0.41
118,1918,-0.14366666666666672,0.22,0.42,0.42,0.44,0.41
119,1919,0.31633333333333324,0.22,0.42,0.43,0.44,0.42
120,1920,0.3663333333333333,0.21,0.43,0.43,0.45,0.42
121,1921,0.21633333333333327,0.22,0.43,0.44,0.45,0.43
122,1922,0.31633333333333324,0.23,0.44,0.44,0.46,0.43
123,1923,0.16633333333333328,0.25,0.44,0.45,0.46,0.44
124,1924,0.09633333333333327,0.27,0.45,0.45,0.46,0.44
125,1925,0.16633333333333328,0.29,0.45,0.46,0.47,0.45
126,1926,0.5763333333333333,0.31,0.45,0.46,0.47,0.45
127,1927,0.23633333333333323,0.33,0.46,0.46,0.48,0.45
128,1928,0.31633333333333324,0.34,0.46,0.47,0.48,0.46
129,1929,0.34633333333333327,0.34,0.47,0.47,0.49,0.46
130,1930,0.5863333333333333,0.34,0.48,0.48,0.49,0.47
131,1931,0.6463333333333332,0.34,0.48,0.49,0.5,0.48
132,1932,0.33633333333333326,0.33,0.49,0.49,0.51,0.48
133,1933,0.12633333333333324,0.32,0.5,0.5,0.52,0.49
134,1934,0.22633333333333328,0.31,0.5,0.51,0.52,0.5
135,1935,0.056333333333333235,0.3,0.51,0.51,0.53,0.5
136,1936,0.4163333333333332,0.31,0.52,0.52,0.54,0.51
137,1937,0.34633333333333327,0.32,0.52,0.53,0.54,0.52
138,1938,-0.033666666666666734,0.33,0.53,0.53,0.54,0.52
139,1939,0.32633333333333325,0.34,0.53,0.53,0.55,0.52
140,1940,0.8163333333333332,0.36,0.54,0.54,0.55,0.53
141,1941,1.0763333333333334,0.38,0.54,0.54,0.56,0.53
142,1942,0.4863333333333333,0.41,0.54,0.55,0.56,0.54
143,1943,0.15633333333333327,0.43,0.55,0.55,0.56,0.54
144,1944,0.27633333333333326,0.44,0.55,0.56,0.57,0.54
145,1945,0.38633333333333325,0.45,0.55,0.56,0.57,0.55
146,1946,0.5763333333333333,0.44,0.56,0.56,0.57,0.55
147,1947,0.5663333333333332,0.45,0.56,0.56,0.58,0.55
148,1948,0.7463333333333333,0.47,0.56,0.57,0.58,0.56
149,1949,0.25633333333333325,0.48,0.56,0.57,0.58,0.56
150,1950,0.07633333333333325,0.48,0.57,0.57,0.58,0.56
151,1951,0.6263333333333333,0.48,0.57,0.57,0.58,0.56
152,1952,0.5863333333333333,0.48,0.57,0.58,0.58,0.57
153,1953,0.7263333333333333,0.5,0.58,0.58,0.58,0.57
154,1954,0.38633333333333325,0.52,0.58,0.58,0.59,0.57
155,1955,0.22633333333333328,0.54,0.58,0.58,0.58,0.57
156,1956,0.15633333333333327,0.56,0.58,0.58,0.58,0.57
157,1957,0.8863333333333332,0.56,0.58,0.57,0.58,0.57
158,1958,1.0963333333333334,0.56,0.57,0.57,0.57,0.56
159,1959,0.7063333333333333,0.56,0.57,0.56,0.56,0.56
160,1960,0.5263333333333332,0.58,0.56,0.56,0.56,0.55
161,1961,0.5363333333333332,0.59,0.56,0.55,0.55,0.55
162,1962,0.46633333333333327,0.58,0.55,0.55,0.55,0.54
163,1963,0.5563333333333332,0.56,0.55,0.55,0.55,0.54
164,1964,0.5863333333333333,0.54,0.55,0.55,0.55,0.54
165,1965,0.5863333333333333,0.52,0.55,0.55,0.55,0.54
166,1966,0.6263333333333333,0.51,0.55,0.55,0.55,0.54
167,1967,0.33633333333333326,0.51,0.55,0.55,0.55,0.54
168,1968,0.3563333333333333,0.52,0.55,0.55,0.55,0.54
169,1969,0.7263333333333333,0.51,0.55,0.56,0.56,0.55
170,1970,0.42633333333333323,0.51,0.55,0.56,0.57,0.55
171,1971,0.11633333333333323,0.51,0.56,0.57,0.58,0.56
172,1972,0.8463333333333333,0.52,0.57,0.58,0.59,0.57
173,1973,0.7463333333333333,0.55,0.58,0.59,0.6,0.58
174,1974,0.34633333333333327,0.58,0.6,0.61,0.61,0.6
175,1975,0.26633333333333326,0.61,0.61,0.62,0.63,0.61
176,1976,0.6263333333333333,0.64,0.62,0.63,0.64,0.62
177,1977,0.8463333333333333,0.67,0.63,0.64,0.65,0.63
178,1978,0.6163333333333333,0.71,0.64,0.65,0.66,0.64
179,1979,0.8863333333333332,0.73,0.65,0.66,0.67,0.65
180,1980,0.8463333333333333,0.75,0.66,0.67,0.69,0.66
181,1981,0.6663333333333332,0.76,0.67,0.68,0.7,0.67
182,1982,0.9463333333333332,0.78,0.68,0.69,0.71,0.68
183,1983,1.3863333333333334,0.78,0.69,0.7,0.72,0.69
184,1984,0.45633333333333326,0.78,0.7,0.71,0.73,0.71
185,1985,0.5763333333333333,0.79,0.71,0.72,0.74,0.72
186,1986,0.7363333333333333,0.8,0.72,0.73,0.75,0.73
187,1987,1.2563333333333333,0.82,0.74,0.74,0.76,0.74
188,1988,0.7163333333333333,0.84,0.75,0.75,0.77,0.75
189,1989,0.5863333333333333,0.86,0.77,0.77,0.79,0.76
190,1990,0.9263333333333332,0.89,0.78,0.78,0.8,0.78
191,1991,1.0763333333333334,0.92,0.8,0.8,0.82,0.8
192,1992,1.1263333333333332,0.95,0.82,0.82,0.83,0.82
193,1993,0.9763333333333333,0.98,0.84,0.84,0.86,0.84
194,1994,0.9763333333333333,0.99,0.87,0.86,0.88,0.86
195,1995,0.9663333333333333,1.0,0.89,0.89,0.9,0.88
196,1996,0.6663333333333332,1.0,0.91,0.91,0.92,0.9
197,1997,1.4763333333333333,1.02,0.94,0.93,0.94,0.93
198,1998,1.5663333333333331,1.04,0.96,0.96,0.97,0.95
199,1999,0.5563333333333332,1.07,0.99,0.98,0.99,0.98
200,2000,0.7863333333333332,1.09,1.01,1.01,1.02,1.0
201,2001,0.9063333333333332,1.12,1.04,1.04,1.04,1.03
202,2002,1.3863333333333334,1.14,1.06,1.07,1.07,1.06
203,2003,1.4163333333333332,1.15,1.09,1.09,1.1,1.08
204,2004,1.2563333333333333,1.17,1.12,1.12,1.13,1.11
205,2005,1.2063333333333333,1.19,1.14,1.15,1.15,1.13
206,2006,1.2163333333333333,1.2,1.17,1.17,1.18,1.16
207,2007,1.1863333333333332,1.2,1.19,1.2,1.2,1.18
208,2008,0.9463333333333332,1.2,1.22,1.22,1.23,1.21
209,2009,1.4463333333333332,1.2,1.24,1.25,1.25,1.23
210,2010,1.2163333333333333,1.22,1.27,1.27,1.27,1.26
211,2011,0.8863333333333332,1.25,1.29,1.29,1.3,1.29
212,2012,1.1763333333333332,1.27,1.32,1.32,1.32,1.31
213,2013,1.2463333333333333,1.31,1.34,1.34,1.35,1.34
214,2014,1.3763333333333332,1.35,1.37,1.37,1.37,1.37
215,2015,1.7863333333333333,1.39,1.4,1.4,1.4,1.4
216,2016,1.4563333333333333,1.43,1.43,1.42,1.42,1.43
217,2017,1.3163333333333331,1.47,1.45,1.45,1.44,1.46
218,2018,1.3363333333333332,1.51,1.48,1.47,1.47,1.49
219,2019,1.6963333333333335,1.55,1.5,1.5,1.49,1.52
220,2020,1.6063333333333332,1.6,1.53,1.53,1.51,1.54
221,2021,,,1.55,1.55,1.54,1.57
222,2022,,,1.57,1.58,1.56,1.61
223,2023,,,1.59,1.6,1.58,1.64
224,2024,,,1.62,1.63,1.6,1.67
225,2025,,,1.64,1.65,1.63,1.7
226,2026,,,1.66,1.68,1.65,1.73
227,2027,,,1.68,1.7,1.67,1.76
228,2028,,,1.7,1.73,1.7,1.78
229,2029,,,1.73,1.75,1.72,1.82
230,2030,,,1.75,1.78,1.75,1.85
231,2031,,,1.77,1.8,1.77,1.88
232,2032,,,1.78,1.82,1.8,1.91
233,2033,,,1.8,1.84,1.82,1.94
234,2034,,,1.82,1.86,1.85,1.97
235,2035,,,1.83,1.88,1.87,2.01
236,2036,,,1.85,1.9,1.9,2.04
237,2037,,,1.86,1.92,1.93,2.07
238,2038,,,1.88,1.94,1.95,2.1
239,2039,,,1.89,1.96,1.98,2.14
240,2040,,,1.91,1.98,2.01,2.18
241,2041,,,1.92,2.0,2.04,2.22
242,2042,,,1.93,2.02,2.07,2.25
243,2043,,,1.94,2.05,2.09,2.29
244,2044,,,1.95,2.07,2.12,2.33
245,2045,,,1.96,2.08,2.15,2.37
246,2046,,,1.97,2.11,2.19,2.41
247,2047,,,1.98,2.13,2.22,2.44
248,2048,,,1.98,2.15,2.25,2.48
249,2049,,,1.99,2.17,2.28,2.52
250,2050,,,2.0,2.19,2.31,2.55
251,2051,,,2.01,2.22,2.34,2.59
252,2052,,,2.01,2.24,2.37,2.63
253,2053,,,2.02,2.26,2.41,2.67
254,2054,,,2.02,2.28,2.44,2.71
255,2055,,,2.03,2.3,2.47,2.75
256,2056,,,2.03,2.32,2.5,2.79
257,2057,,,2.04,2.34,2.53,2.83
258,2058,,,2.04,2.36,2.56,2.87
259,2059,,,2.04,2.38,2.6,2.91
260,2060,,,2.05,2.4,2.63,2.95
261,2061,,,2.05,2.42,2.66,2.99
262,2062,,,2.05,2.44,2.69,3.04
263,2063,,,2.05,2.45,2.72,3.08
264,2064,,,2.05,2.47,2.76,3.12
265,2065,,,2.05,2.49,2.79,3.17
266,2066,,,2.05,2.5,2.82,3.21
267,2067,,,2.05,2.51,2.85,3.25
268,2068,,,2.05,2.53,2.88,3.29
269,2069,,,2.05,2.54,2.92,3.33
270,2070,,,2.05,2.55,2.95,3.38
271,2071,,,2.05,2.57,2.98,3.42
272,2072,,,2.05,2.58,3.02,3.46
273,2073,,,2.05,2.59,3.05,3.5
274,2074,,,2.04,2.61,3.08,3.55
275,2075,,,2.04,2.62,3.11,3.59
276,2076,,,2.04,2.63,3.15,3.64
277,2077,,,2.04,2.65,3.18,3.68
278,2078,,,2.04,2.66,3.21,3.72
279,2079,,,2.04,2.67,3.24,3.77
280,2080,,,2.04,2.68,3.28,3.81
281,2081,,,2.04,2.69,3.31,3.85
282,2082,,,2.04,2.71,3.34,3.89
283,2083,,,2.03,2.72,3.37,3.94
284,2084,,,2.03,2.73,3.4,3.98
285,2085,,,2.03,2.74,3.43,4.03
286,2086,,,2.02,2.76,3.46,4.07
287,2087,,,2.02,2.77,3.49,4.11
288,2088,,,2.01,2.78,3.53,4.16
289,2089,,,2.01,2.79,3.56,4.2
290,2090,,,2.01,2.8,3.6,4.24
291,2091,,,2.0,2.81,3.63,4.28
292,2092,,,2.0,2.82,3.67,4.32
293,2093,,,1.99,2.82,3.7,4.37
294,2094,,,1.99,2.83,3.74,4.41
295,2095,,,1.99,2.84,3.77,4.45
296,2096,,,1.98,2.85,3.8,4.49
297,2097,,,1.98,2.86,3.84,4.53
298,2098,,,1.97,2.87,3.87,4.56
299,2099,,,1.97,2.87,3.9,4.6
300,2100,,,1.96,2.88,3.94,4.65
