Vietnam,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,-1.2448275862068965,-0.75,,,,
18,1818,-0.4248275862068966,-0.72,,,,
19,1819,-1.1748275862068966,-0.69,,,,
20,1820,-0.8548275862068966,-0.67,,,,
21,1821,-0.39482758620689656,-0.64,,,,
22,1822,-0.3048275862068965,-0.62,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,-0.27482758620689657,-0.55,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,-0.3448275862068965,-0.35,,,,
34,1834,-0.3348275862068965,-0.34,,,,
35,1835,-1.1548275862068966,-0.34,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,-0.37482758620689655,-0.37,,,,
41,1841,-0.05482758620689654,-0.37,,,,
42,1842,-0.2048275862068965,-0.37,,,,
43,1843,-0.12482758620689655,-0.36,,,,
44,1844,-0.6548275862068966,-0.37,,,,
45,1845,-0.8248275862068966,-0.38,,,,
46,1846,-0.11482758620689654,-0.38,,,,
47,1847,-0.5548275862068965,-0.38,,,,
48,1848,-0.7348275862068967,-0.38,,,,
49,1849,-0.5948275862068966,-0.39,,,,
50,1850,-0.4048275862068966,-0.36,0.44,0.45,0.48,0.43
51,1851,-0.26482758620689656,-0.33,0.44,0.45,0.48,0.43
52,1852,-0.38482758620689655,-0.3,0.44,0.45,0.48,0.43
53,1853,0.17517241379310347,-0.28,0.44,0.44,0.48,0.43
54,1854,0.15517241379310345,-0.25,0.44,0.44,0.48,0.43
55,1855,-0.21482758620689651,-0.22,0.44,0.44,0.48,0.43
56,1856,-0.5348275862068965,-0.21,0.44,0.44,0.48,0.43
57,1857,,,0.44,0.44,0.48,0.43
58,1858,-0.10482758620689653,-0.18,0.44,0.44,0.48,0.43
59,1859,-0.024827586206896513,-0.17,0.44,0.44,0.48,0.43
60,1860,-0.15482758620689657,-0.15,0.44,0.44,0.48,0.43
61,1861,-0.3448275862068965,-0.13,0.44,0.44,0.48,0.43
62,1862,,,0.43,0.44,0.47,0.43
63,1863,-0.3248275862068965,-0.07,0.43,0.44,0.47,0.43
64,1864,-0.4248275862068966,-0.04,0.43,0.44,0.47,0.43
65,1865,0.25517241379310346,-0.01,0.43,0.44,0.48,0.43
66,1866,0.11517241379310345,0.02,0.43,0.44,0.48,0.43
67,1867,0.23517241379310347,0.05,0.43,0.44,0.48,0.43
68,1868,0.39517241379310347,0.09,0.43,0.44,0.48,0.43
69,1869,0.035172413793103485,0.12,0.43,0.44,0.48,0.43
70,1870,0.11517241379310345,0.14,0.43,0.44,0.48,0.43
71,1871,0.06517241379310346,0.15,0.44,0.44,0.48,0.43
72,1872,0.23517241379310347,0.15,0.44,0.44,0.49,0.43
73,1873,0.08517241379310347,0.15,0.43,0.44,0.49,0.43
74,1874,0.38517241379310346,0.15,0.43,0.44,0.49,0.43
75,1875,-0.024827586206896513,0.15,0.43,0.44,0.48,0.43
76,1876,-0.27482758620689657,0.13,0.43,0.43,0.48,0.42
77,1877,0.36517241379310345,0.11,0.42,0.43,0.48,0.42
78,1878,0.6551724137931034,0.08,0.42,0.42,0.47,0.41
79,1879,0.29517241379310344,0.04,0.41,0.42,0.46,0.41
80,1880,-0.08482758620689651,-0.01,0.41,0.41,0.46,0.4
81,1881,0.04517241379310344,-0.05,0.41,0.41,0.45,0.4
82,1882,-0.05482758620689654,-0.08,0.4,0.4,0.45,0.39
83,1883,-0.2848275862068966,-0.11,0.4,0.4,0.44,0.39
84,1884,-0.6048275862068966,-0.14,0.4,0.4,0.44,0.39
85,1885,-0.2848275862068966,-0.16,0.39,0.39,0.44,0.38
86,1886,-0.3048275862068965,-0.17,0.39,0.39,0.43,0.38
87,1887,-0.49482758620689654,-0.19,0.39,0.39,0.43,0.38
88,1888,0.025172413793103476,-0.19,0.39,0.39,0.43,0.37
89,1889,0.25517241379310346,-0.19,0.39,0.39,0.43,0.37
90,1890,0.015172413793103467,-0.17,0.39,0.39,0.43,0.38
91,1891,0.035172413793103485,-0.14,0.39,0.4,0.44,0.38
92,1892,-0.5848275862068966,-0.1,0.4,0.4,0.45,0.39
93,1893,-0.6648275862068966,-0.08,0.41,0.41,0.46,0.4
94,1894,-0.22482758620689652,-0.06,0.42,0.42,0.47,0.41
95,1895,-0.00482758620689655,-0.04,0.42,0.43,0.47,0.41
96,1896,0.015172413793103467,-0.02,0.43,0.43,0.48,0.42
97,1897,0.31517241379310346,0.01,0.43,0.44,0.48,0.42
98,1898,0.08517241379310347,0.04,0.43,0.44,0.49,0.42
99,1899,-0.09482758620689652,0.06,0.43,0.44,0.49,0.43
100,1900,0.23517241379310347,0.08,0.44,0.44,0.49,0.43
101,1901,0.15517241379310345,0.09,0.44,0.45,0.49,0.43
102,1902,0.6051724137931035,0.08,0.44,0.45,0.5,0.43
103,1903,-0.01482758620689656,0.07,0.44,0.45,0.5,0.43
104,1904,-0.14482758620689656,0.07,0.44,0.45,0.5,0.43
105,1905,0.035172413793103485,0.06,0.44,0.45,0.5,0.43
106,1906,0.20517241379310347,0.06,0.44,0.44,0.49,0.43
107,1907,-0.1748275862068966,0.05,0.44,0.44,0.49,0.43
108,1908,-0.1748275862068966,0.05,0.44,0.44,0.49,0.43
109,1909,0.17517241379310347,0.05,0.44,0.44,0.49,0.43
110,1910,0.035172413793103485,0.05,0.44,0.45,0.5,0.43
111,1911,0.30517241379310345,0.04,0.45,0.45,0.5,0.44
112,1912,0.11517241379310345,0.03,0.46,0.46,0.51,0.44
113,1913,-0.23482758620689653,0.01,0.46,0.47,0.51,0.45
114,1914,0.45517241379310347,0.0,0.47,0.47,0.52,0.46
115,1915,0.32517241379310347,-0.0,0.47,0.48,0.53,0.46
116,1916,-0.4648275862068965,-0.01,0.48,0.49,0.53,0.47
117,1917,-0.7248275862068967,-0.02,0.48,0.49,0.54,0.47
118,1918,-0.4548275862068965,-0.04,0.49,0.5,0.54,0.48
119,1919,0.2751724137931035,-0.06,0.49,0.5,0.54,0.48
120,1920,0.08517241379310347,-0.08,0.5,0.51,0.55,0.49
121,1921,-0.1848275862068965,-0.09,0.5,0.51,0.55,0.49
122,1922,0.07517241379310347,-0.1,0.51,0.52,0.56,0.5
123,1923,-0.04482758620689653,-0.09,0.51,0.52,0.56,0.51
124,1924,-0.12482758620689655,-0.09,0.52,0.53,0.57,0.51
125,1925,-0.4448275862068965,-0.09,0.52,0.53,0.57,0.52
126,1926,0.035172413793103485,-0.09,0.53,0.54,0.58,0.52
127,1927,-0.09482758620689652,-0.1,0.53,0.54,0.58,0.52
128,1928,-0.11482758620689654,-0.1,0.53,0.54,0.58,0.53
129,1929,-0.1948275862068965,-0.1,0.54,0.55,0.59,0.53
130,1930,-0.12482758620689655,-0.08,0.54,0.55,0.59,0.54
131,1931,0.4051724137931035,-0.05,0.55,0.56,0.6,0.54
132,1932,-0.3348275862068965,-0.03,0.56,0.57,0.6,0.55
133,1933,-0.06482758620689655,0.0,0.57,0.57,0.61,0.56
134,1934,-0.4148275862068966,0.03,0.57,0.58,0.62,0.56
135,1935,0.41517241379310343,0.07,0.58,0.59,0.63,0.57
136,1936,-0.024827586206896513,0.1,0.59,0.6,0.64,0.58
137,1937,0.42517241379310344,0.13,0.6,0.6,0.64,0.59
138,1938,0.15517241379310345,0.16,0.6,0.61,0.65,0.59
139,1939,0.08517241379310347,0.19,0.6,0.61,0.65,0.59
140,1940,0.18517241379310345,0.22,0.61,0.62,0.65,0.6
141,1941,0.7251724137931035,0.25,0.61,0.62,0.65,0.6
142,1942,0.36517241379310345,0.27,0.61,0.62,0.66,0.6
143,1943,-0.06482758620689655,0.29,0.62,0.62,0.66,0.61
144,1944,0.2751724137931035,0.3,0.62,0.63,0.66,0.61
145,1945,0.11517241379310345,0.31,0.62,0.63,0.66,0.61
146,1946,0.7851724137931035,0.32,0.62,0.63,0.66,0.61
147,1947,0.36517241379310345,0.34,0.62,0.63,0.66,0.61
148,1948,0.29517241379310344,0.35,0.62,0.63,0.66,0.61
149,1949,0.42517241379310344,0.36,0.61,0.62,0.65,0.6
150,1950,0.32517241379310347,0.36,0.61,0.62,0.65,0.6
151,1951,0.17517241379310347,0.36,0.61,0.62,0.65,0.6
152,1952,0.5351724137931034,0.37,0.61,0.62,0.64,0.6
153,1953,0.5751724137931035,0.37,0.61,0.62,0.64,0.6
154,1954,0.44517241379310346,0.38,0.61,0.61,0.64,0.6
155,1955,0.08517241379310347,0.39,0.6,0.61,0.64,0.59
156,1956,0.07517241379310347,0.39,0.6,0.61,0.64,0.59
157,1957,0.4751724137931035,0.39,0.6,0.6,0.63,0.58
158,1958,0.5051724137931035,0.38,0.59,0.6,0.62,0.58
159,1959,0.5251724137931035,0.38,0.58,0.59,0.62,0.57
160,1960,0.5151724137931035,0.39,0.57,0.58,0.61,0.56
161,1961,0.49517241379310345,0.39,0.57,0.58,0.6,0.56
162,1962,0.11517241379310345,0.4,0.56,0.57,0.6,0.55
163,1963,0.17517241379310347,0.4,0.56,0.57,0.59,0.55
164,1964,0.36517241379310345,0.39,0.55,0.56,0.59,0.54
165,1965,0.5551724137931034,0.38,0.55,0.56,0.59,0.54
166,1966,0.9151724137931034,0.37,0.55,0.56,0.59,0.54
167,1967,0.035172413793103485,0.37,0.55,0.56,0.59,0.54
168,1968,0.31517241379310346,0.37,0.54,0.56,0.58,0.54
169,1969,0.5951724137931035,0.37,0.54,0.56,0.58,0.54
170,1970,0.32517241379310347,0.36,0.54,0.56,0.59,0.54
171,1971,-0.1748275862068966,0.36,0.55,0.56,0.59,0.54
172,1972,0.42517241379310344,0.35,0.55,0.57,0.6,0.55
173,1973,0.7451724137931035,0.35,0.56,0.57,0.6,0.56
174,1974,0.19517241379310346,0.37,0.57,0.58,0.61,0.56
175,1975,0.39517241379310347,0.39,0.58,0.59,0.62,0.57
176,1976,0.07517241379310347,0.41,0.58,0.6,0.63,0.58
177,1977,0.31517241379310346,0.43,0.59,0.6,0.64,0.59
178,1978,0.39517241379310347,0.44,0.6,0.61,0.65,0.59
179,1979,0.6851724137931035,0.45,0.61,0.62,0.66,0.6
180,1980,0.6651724137931034,0.46,0.62,0.63,0.66,0.61
181,1981,0.6351724137931034,0.48,0.62,0.64,0.67,0.62
182,1982,0.5351724137931034,0.51,0.63,0.65,0.68,0.63
183,1983,0.5351724137931034,0.53,0.64,0.66,0.7,0.64
184,1984,0.23517241379310347,0.55,0.65,0.67,0.71,0.65
185,1985,0.37517241379310345,0.57,0.66,0.68,0.72,0.66
186,1986,0.41517241379310343,0.58,0.67,0.69,0.73,0.67
187,1987,1.1151724137931034,0.59,0.68,0.7,0.74,0.68
188,1988,0.6751724137931034,0.6,0.69,0.71,0.74,0.69
189,1989,0.42517241379310344,0.61,0.71,0.72,0.76,0.7
190,1990,0.8251724137931035,0.63,0.72,0.74,0.77,0.71
191,1991,0.9351724137931035,0.64,0.74,0.75,0.78,0.73
192,1992,0.4751724137931035,0.66,0.75,0.77,0.8,0.75
193,1993,0.5551724137931034,0.67,0.77,0.79,0.82,0.76
194,1994,0.8351724137931035,0.67,0.79,0.81,0.84,0.79
195,1995,0.5751724137931035,0.69,0.82,0.83,0.86,0.81
196,1996,0.37517241379310345,0.71,0.84,0.85,0.88,0.83
197,1997,0.7551724137931035,0.73,0.85,0.87,0.9,0.85
198,1998,1.5651724137931033,0.75,0.87,0.89,0.91,0.87
199,1999,0.7251724137931035,0.78,0.9,0.91,0.93,0.89
200,2000,0.6351724137931034,0.82,0.92,0.94,0.96,0.91
201,2001,0.8651724137931034,0.85,0.94,0.96,0.98,0.93
202,2002,1.0551724137931036,0.88,0.97,0.98,1.0,0.96
203,2003,1.1251724137931034,0.91,0.99,1.0,1.03,0.98
204,2004,0.6951724137931035,0.94,1.02,1.03,1.05,1.01
205,2005,1.0051724137931035,0.97,1.04,1.05,1.07,1.03
206,2006,1.2151724137931035,1.0,1.07,1.08,1.1,1.06
207,2007,0.9351724137931035,1.02,1.09,1.1,1.12,1.09
208,2008,0.42517241379310344,1.05,1.12,1.12,1.14,1.11
209,2009,1.0851724137931034,1.08,1.14,1.15,1.17,1.14
210,2010,1.4651724137931035,1.11,1.17,1.17,1.19,1.17
211,2011,0.31517241379310346,1.15,1.2,1.2,1.21,1.2
212,2012,1.2651724137931035,1.19,1.23,1.23,1.24,1.23
213,2013,0.9751724137931035,1.24,1.26,1.26,1.26,1.26
214,2014,1.0951724137931034,1.29,1.29,1.29,1.29,1.29
215,2015,1.6451724137931034,1.35,1.33,1.33,1.31,1.33
216,2016,1.5451724137931033,1.41,1.36,1.36,1.34,1.36
217,2017,1.2251724137931035,1.46,1.39,1.39,1.36,1.4
218,2018,1.2251724137931035,1.52,1.43,1.42,1.39,1.43
219,2019,1.9151724137931034,1.58,1.46,1.45,1.42,1.46
220,2020,1.6751724137931034,1.64,1.49,1.48,1.44,1.5
221,2021,,,1.52,1.51,1.47,1.53
222,2022,,,1.55,1.54,1.49,1.56
223,2023,,,1.58,1.57,1.52,1.59
224,2024,,,1.61,1.6,1.55,1.62
225,2025,,,1.64,1.62,1.57,1.65
226,2026,,,1.67,1.65,1.6,1.68
227,2027,,,1.7,1.67,1.63,1.71
228,2028,,,1.72,1.7,1.66,1.74
229,2029,,,1.75,1.72,1.69,1.78
230,2030,,,1.77,1.75,1.72,1.81
231,2031,,,1.79,1.77,1.74,1.85
232,2032,,,1.81,1.79,1.77,1.88
233,2033,,,1.83,1.81,1.8,1.92
234,2034,,,1.85,1.83,1.82,1.96
235,2035,,,1.86,1.85,1.85,1.99
236,2036,,,1.88,1.88,1.88,2.03
237,2037,,,1.89,1.9,1.9,2.07
238,2038,,,1.91,1.92,1.93,2.11
239,2039,,,1.92,1.95,1.96,2.15
240,2040,,,1.93,1.97,1.99,2.19
241,2041,,,1.94,2.0,2.01,2.24
242,2042,,,1.96,2.02,2.04,2.28
243,2043,,,1.97,2.05,2.07,2.32
244,2044,,,1.98,2.07,2.1,2.36
245,2045,,,1.99,2.09,2.13,2.4
246,2046,,,2.0,2.12,2.16,2.44
247,2047,,,2.01,2.14,2.19,2.48
248,2048,,,2.02,2.17,2.22,2.52
249,2049,,,2.03,2.19,2.24,2.55
250,2050,,,2.04,2.21,2.28,2.59
251,2051,,,2.06,2.24,2.31,2.63
252,2052,,,2.07,2.26,2.34,2.67
253,2053,,,2.08,2.28,2.37,2.72
254,2054,,,2.09,2.3,2.41,2.76
255,2055,,,2.09,2.32,2.44,2.8
256,2056,,,2.1,2.35,2.47,2.85
257,2057,,,2.11,2.36,2.5,2.89
258,2058,,,2.11,2.38,2.54,2.94
259,2059,,,2.12,2.4,2.57,2.98
260,2060,,,2.12,2.42,2.6,3.02
261,2061,,,2.12,2.44,2.64,3.07
262,2062,,,2.13,2.46,2.67,3.12
263,2063,,,2.13,2.48,2.71,3.17
264,2064,,,2.13,2.5,2.74,3.22
265,2065,,,2.13,2.52,2.78,3.26
266,2066,,,2.13,2.53,2.81,3.31
267,2067,,,2.13,2.55,2.84,3.36
268,2068,,,2.13,2.57,2.87,3.41
269,2069,,,2.13,2.59,2.91,3.46
270,2070,,,2.13,2.61,2.94,3.51
271,2071,,,2.13,2.63,2.98,3.55
272,2072,,,2.13,2.65,3.01,3.6
273,2073,,,2.13,2.67,3.05,3.65
274,2074,,,2.13,2.69,3.09,3.69
275,2075,,,2.13,2.71,3.12,3.74
276,2076,,,2.13,2.72,3.16,3.79
277,2077,,,2.12,2.74,3.2,3.83
278,2078,,,2.12,2.75,3.23,3.88
279,2079,,,2.12,2.76,3.27,3.93
280,2080,,,2.11,2.78,3.31,3.98
281,2081,,,2.11,2.79,3.35,4.02
282,2082,,,2.11,2.8,3.39,4.08
283,2083,,,2.1,2.81,3.42,4.13
284,2084,,,2.1,2.83,3.46,4.18
285,2085,,,2.09,2.84,3.5,4.23
286,2086,,,2.09,2.85,3.53,4.28
287,2087,,,2.09,2.86,3.57,4.33
288,2088,,,2.08,2.87,3.6,4.38
289,2089,,,2.08,2.88,3.64,4.44
290,2090,,,2.08,2.89,3.68,4.49
291,2091,,,2.07,2.91,3.72,4.54
292,2092,,,2.07,2.91,3.76,4.59
293,2093,,,2.07,2.92,3.8,4.63
294,2094,,,2.06,2.93,3.83,4.68
295,2095,,,2.06,2.94,3.87,4.73
296,2096,,,2.06,2.95,3.91,4.78
297,2097,,,2.05,2.96,3.95,4.82
298,2098,,,2.05,2.97,3.98,4.87
299,2099,,,2.05,2.98,4.02,4.91
300,2100,,,2.05,2.99,4.06,4.97
